ObjectID,Title,Object Name,Date,Period,Dynasty,Reign,Medium,Dimensions,Culture,Country,Region,City,Subjects,Artist Name,Artist Role(s),Artist Nationality,Artist Date of Birth,Artist Date of Death,Artist Gender,department,classification,artistDisplayBio,isHighlight,isPublicDomain,objectURL,primaryImage,additionalImages_count,objectWikidata_URL,artistWikidata_URL,artistULAN_URL
591107,"Worker Shabti of Henettawy (C), Daughter of Isetemkheb","Shabti, Henettawy C",ca. 990–970 B.C.,Third Intermediate Period,Dynasty 21,,Faience,H. 11.9 x W. 4.2 x D. 3.1 cm (4 11/16 x 1 5/8 x 1 1/4 in.),,Egypt,"Upper Egypt, Thebes",,,,,,,,,Egyptian Art,,,False,True,https://www.metmuseum.org/art/collection/search/591107,https://images.metmuseum.org/CRDImages/eg/original/25.3.19.121_EGDP012691.jpg,1,https://www.wikidata.org/wiki/Q116245816,,
560770,Female sphinx amulet,Female sphinx amulet,ca. 1981–1550 B.C.,Middle Kingdom–Second Intermediate Period,Dynasty 12–17,,Beryl,H. 1.4 × W. 1.1 cm (9/16 × 7/16 in.),,Egypt,,,,,,,,,,Egyptian Art,,,False,True,https://www.metmuseum.org/art/collection/search/560770,https://images.metmuseum.org/CRDImages/eg/original/LC-10_130_2159_EGDP036227.jpg,1,https://www.wikidata.org/wiki/Q116437287,,
544566,Astronomical Ceiling,"Facsimile, Senenmut (TT 353), astronomical ceiling",ca. 1479–1458 B.C.,Original: New Kingdom,Dynasty 18,Joint reign of Hatshepsut and Thutmose III,Tempera on paper,"Facsimile: H. 73 × W. 56.5 cm (28 3/4 × 22 1/4 in.); scale approximately 1:5;, Framed: H. 74.6 × W. 58.1 cm (29 3/8 × 22 13/16 in.)",,Egypt,"Upper Egypt, Thebes",,Hieroglyphs|Astronomy,Charles K. Wilkinson,Artist,,1897,1986,,Egyptian Art,,,False,True,https://www.metmuseum.org/art/collection/search/544566,https://images.metmuseum.org/CRDImages/eg/original/48.105.52_EGDP012289.jpg,2,,https://www.wikidata.org/wiki/Q19997486,http://vocab.getty.edu/page/ulan/500328136
566864,Pair of boat-shaped earrings with filigree and granule decoration,"Earrings, boat shaped, filagree",A.D. 1st–2nd century,Roman Period,,,Gold,h. 1.8 cm (11/16 in); w. 1.5 cm (9/16 in),,Egypt,Lower Egypt,,,,,,,,,Egyptian Art,,,False,True,https://www.metmuseum.org/art/collection/search/566864,https://images.metmuseum.org/CRDImages/eg/original/vs18.2.22.23.jpg,0,https://www.wikidata.org/wiki/Q116439901,,
546518,Sealing,Sealing,ca. 2030–1640 B.C.,Middle Kingdom,Dynasty 12–13,,Clay (unfired),,,Egypt,Memphite Region,,,,,,,,,Egyptian Art,,,False,True,https://www.metmuseum.org/art/collection/search/546518,https://images.metmuseum.org/CRDImages/eg/original/14.3.280.bat.jpg,1,,,
571619,A hand from a coffin?,Coffin hand fragment,ca. 1295–1070 B.C.,"New Kingdom, Ramesside or later",Dyn. 19 - 20 or later,,"Wood, stucco, paint",l. 18.7 cm (7 3/8 in),,Egypt,Memphite Region,,Hands,,,,,,,Egyptian Art,,,False,True,https://www.metmuseum.org/art/collection/search/571619,https://images.metmuseum.org/CRDImages/eg/original/15-3-1126b.jpg,0,,,
591157,Fragments of Cornflower Pendant,"Pendant, cornflowers",ca. 1390–1352 B.C.,New Kingdom,Dynasty 18,reign of Amenhotep III,Faience,L. 0.6 cm (1/4 in.),,Egypt,"Upper Egypt, Thebes",,,,,,,,,Egyptian Art,,,False,True,https://www.metmuseum.org/art/collection/search/591157,https://images.metmuseum.org/CRDImages/eg/original/11.215.279.jpg,0,,,
549075,Club,Club,ca. 1479–1458 B.C.,New Kingdom,Dynasty 18,Joint reign of Hatshepsut and Thutmose III,Wood,L. 74 cm (29 1/8 in.); Max. W. 4.3 cm (1 11/16 in.);Th. 2.5 cm (1 in.),,Egypt,"Upper Egypt, Thebes",,,,,,,,,Egyptian Art,,,False,True,https://www.metmuseum.org/art/collection/search/549075,https://images.metmuseum.org/CRDImages/eg/original/LC-36_3_205_EGDP026731.jpg,1,https://www.wikidata.org/wiki/Q116235243,,
548287,Mummy Bandage Inscribed for Paherer,Bandage,ca. 750–700 B.C.,Third Intermediate Period,Dynasty 25,,Linen,L. 72.5 × W. 12 cm (28 9/16 × 4 3/4 in.); Framed: L. 75.5 × W. 16 cm (29 3/4 × 6 5/16 in.),,Egypt,"Upper Egypt, Thebes",,Hieroglyphs,,,,,,,Egyptian Art,,,False,True,https://www.metmuseum.org/art/collection/search/548287,https://images.metmuseum.org/CRDImages/eg/original/LC-25_3_214_EGDP024461.jpg,0,https://www.wikidata.org/wiki/Q116275567,,
551647,Pendant: Bunch of Grapes,"Pendant, grapes",ca. 1390–1352 B.C.,New Kingdom,Dynasty 18,reign of Amenhotep III,Faience,L. 2.4 cm (15/16 in),,Egypt,"Upper Egypt, Thebes",,Grapes,,,,,,,Egyptian Art,,,False,True,https://www.metmuseum.org/art/collection/search/551647,https://images.metmuseum.org/CRDImages/eg/original/11.215.319.jpg,0,,,
570828,Projectile Point,"Arrowhead, Projectile Point",ca. 3100–2649 B.C.,Early Dynastic Period,,,Stone,L. 3.3 × W. 0.9 × Th. 0.4 cm (1 5/16 × 3/8 × 3/16 in.),,Egypt,Northern Upper Egypt,,,,,,,,,Egyptian Art,,,False,True,https://www.metmuseum.org/art/collection/search/570828,https://images.metmuseum.org/CRDImages/eg/original/LC-01_4_79_EGDP037911.jpg,1,,,
