ObjectID,Title,Object Name,Date,Period,Dynasty,Reign,Medium,Dimensions,Culture,Country,Region,City,Subjects,Artist Name,Artist Role(s),Artist Nationality,Artist Date of Birth,Artist Date of Death,Artist Gender,department,classification,artistDisplayBio,isHighlight,isPublicDomain,objectURL,primaryImage,additionalImages_count,objectWikidata_URL,artistWikidata_URL,artistULAN_URL
439081,Saint Maurice,Painting,ca. 1520–25,,,,Oil on linden,54 x 15 1/2 in. (137.2 x 39.4 cm),,,,,Armor|Swords|Men|Saints,Lucas Cranach the Elder and Workshop,Artist,German,1472,1553,,European Paintings,Paintings,"German, Kronach 1472–1553 Weimar",False,True,https://www.metmuseum.org/art/collection/search/439081,https://images.metmuseum.org/CRDImages/ep/original/DP344253.jpg,2,https://www.wikidata.org/wiki/Q19911613,https://www.wikidata.org/wiki/Q191748,http://vocab.getty.edu/page/ulan/500115364
436577,Saint Andrew,Painting,ca. 1610,,,,Oil on canvas,43 1/4 x 25 1/4 in. (109.9 x 64.1 cm),,,,,Men|Saints,El Greco (Domenikos Theotokopoulos),Artist,Greek,1540,1614,,European Paintings,Paintings,"Greek, Iráklion (Candia) 1541–1614 Toledo",False,True,https://www.metmuseum.org/art/collection/search/436577,https://images.metmuseum.org/CRDImages/ep/original/DP-20335-001.jpg,0,https://www.wikidata.org/wiki/Q16621885,https://www.wikidata.org/wiki/Q301,http://vocab.getty.edu/page/ulan/500010916
436960,A Matador,Painting,1866–67,,,,Oil on canvas,67 3/8 x 44 1/2 in. (171.1 x 113 cm),,,,,Men|Portraits,Edouard Manet,Artist,French,1832,1883,,European Paintings,Paintings,"French, Paris 1832–1883 Paris",False,True,https://www.metmuseum.org/art/collection/search/436960,https://images.metmuseum.org/CRDImages/ep/original/DT1933.jpg,0,https://www.wikidata.org/wiki/Q3224381,https://www.wikidata.org/wiki/Q40599,http://vocab.getty.edu/page/ulan/500010363
435985,"Study for ""The Destruction of Sodom""",Painting,1843,,,,Oil on canvas,14 1/8 x 19 5/8 in. (35.9 x 49.8 cm),,,,,Human Figures|Landscapes,Camille Corot,Artist,French,1796,1875,,European Paintings,Paintings,"French, Paris 1796–1875 Paris",False,True,https://www.metmuseum.org/art/collection/search/435985,https://images.metmuseum.org/CRDImages/ep/original/DT2018.jpg,0,https://www.wikidata.org/wiki/Q19912454,https://www.wikidata.org/wiki/Q148475,http://vocab.getty.edu/page/ulan/500115390
436171,Woman Drying Her Arm,Drawing,late 1880s–early 1890s,,,,"Pastel and charcoal on light pink wove paper, discolored at the edges","12 x 17 1/2in. (30.5 x 44.5cm)
Frame: 17 1/8 x 22 7/8 x 1 7/8 in. (43.5 x 58.1 x 4.8 cm)",,,,,Female Nudes,Edgar Degas,Artist,French,1834,1917,,European Paintings,Drawings,"French, Paris 1834–1917 Paris",False,True,https://www.metmuseum.org/art/collection/search/436171,https://images.metmuseum.org/CRDImages/ep/original/DP253485.jpg,0,https://www.wikidata.org/wiki/Q19913763,https://www.wikidata.org/wiki/Q46373,http://vocab.getty.edu/page/ulan/500115194
436522,A Benedictine Monk,Painting,1480–1483,,,,Oil on wood,"Overall 9 7/8 x 7 3/8 in. (25.1 x 18.7 cm), with added strip of 3/4 in. (1.9 cm) at right",,,,,Men|Portraits|Monks,Hugo van der Goes,Artist,Netherlandish,1467,1482,,European Paintings,Paintings,"Netherlandish, early 1480s",False,True,https://www.metmuseum.org/art/collection/search/436522,https://images.metmuseum.org/CRDImages/ep/original/DP-19585-001.jpg,2,https://www.wikidata.org/wiki/Q19912002,https://www.wikidata.org/wiki/Q215251,http://vocab.getty.edu/page/ulan/500007457
437742,Saint Michael and the Dragon,Painting,ca. 1405,,,,"Tempera on wood, gold ground",41 3/8 x 40 3/4 in. (105.1 x 103.5 cm),,,,,Shields|Swords|Dragons|Saint Michael,Spanish (Valencian) Painter(?),Artist,Spanish,,,,European Paintings,Paintings,"active in Italy, early 15th century",False,True,https://www.metmuseum.org/art/collection/search/437742,https://images.metmuseum.org/CRDImages/ep/original/DP-24152-001.jpg,0,https://www.wikidata.org/wiki/Q19912023,,
442183,A Cardinal's Procession,Painting,1621,,,,Oil on copper,15 1/2 x 14 3/4 in. (39.4 x 37.5 cm),,,,,Men|Processions,Ottavio Leoni (Il Padovano),Artist,Italian,1578,1630,,European Paintings,Paintings,"Italian, Rome 1578–1630 Rome",False,True,https://www.metmuseum.org/art/collection/search/442183,https://images.metmuseum.org/CRDImages/ep/original/DP-20593-001.jpg,2,https://www.wikidata.org/wiki/Q19905654,https://www.wikidata.org/wiki/Q389768,http://vocab.getty.edu/page/ulan/500001403
437245,Modern Rome,Painting,1757,,,,Oil on canvas,67 3/4 x 91 3/4 in. (172.1 x 233 cm),,,,,Painting|Sculpture|Men|Lions,Giovanni Paolo Panini,Artist,Italian,1691,1765,,European Paintings,Paintings,"Italian, Piacenza 1691–1765 Rome",False,True,https://www.metmuseum.org/art/collection/search/437245,https://images.metmuseum.org/CRDImages/ep/original/DT1403.jpg,3,https://www.wikidata.org/wiki/Q3094651,https://www.wikidata.org/wiki/Q286670,http://vocab.getty.edu/page/ulan/500018296
437514,"The Edge of the Woods at Monts-Girard, Fontainebleau Forest",Painting,1852–54,,,,Oil on wood,31 1/2 x 48 in. (80 x 121.9 cm),,,,,Forests|Landscapes,Théodore Rousseau,Artist,French,1812,1867,,European Paintings,Paintings,"French, Paris 1812–1867 Barbizon",False,True,https://www.metmuseum.org/art/collection/search/437514,https://images.metmuseum.org/CRDImages/ep/original/DT4574.jpg,0,https://www.wikidata.org/wiki/Q19905458,https://www.wikidata.org/wiki/Q310025,http://vocab.getty.edu/page/ulan/500019946
435832,Florentine Poet,Painting,1861,,,,Oil on wood,12 x 19 7/8 in. (30.5 x 50.5 cm),,,,,Men|Women,Alexandre Cabanel,Artist,French,1823,1889,,European Paintings,Paintings,"French, Montpellier 1823–1889 Paris",False,True,https://www.metmuseum.org/art/collection/search/435832,https://images.metmuseum.org/CRDImages/ep/original/DP208015.jpg,0,https://www.wikidata.org/wiki/Q19913048,https://www.wikidata.org/wiki/Q310437,http://vocab.getty.edu/page/ulan/500004789
437059,Young Woman with a Pink,Painting,ca. 1485–90,,,,Oil on wood,Overall 17 x 7 3/8 in. (43.2 x 18.7 cm); painted surface 17 x 6 7/8 in. (43.2 x 17.5 cm),,,,,Portraits|Women,Hans Memling,Artist,Netherlandish,1465,1494,,European Paintings,Paintings,"Netherlandish, Seligenstadt, active by 1465–died 1494 Bruges",False,True,https://www.metmuseum.org/art/collection/search/437059,https://images.metmuseum.org/CRDImages/ep/original/DP-19588-001.jpg,3,https://www.wikidata.org/wiki/Q19911463,https://www.wikidata.org/wiki/Q106851,http://vocab.getty.edu/page/ulan/500005611
435924,Portrait of a Man,"Painting, miniature",1545–1555,,,,Oil on card,Overall 1 3/4 x 1 1/2 in. (43 x 38 mm); feigned oval portrait 1 1/4 x 1 1/8 in. (32 x 28 mm),,,,,Men|Portraits,Continental Painter,Artist,Continental,,,,European Paintings,Miniatures,ca. 1550,False,True,https://www.metmuseum.org/art/collection/search/435924,https://images.metmuseum.org/CRDImages/ep/original/DP-31456-001.jpg,0,https://www.wikidata.org/wiki/Q19913765,,
437946,Allegory of the Arts,"Painting, sketch for a ceiling decoration",1742,,,,Oil on canvas,18 7/8 x 23 1/4 in. (47.9 x 59.1 cm),,,,,Putti|Sky|Allegory,Jacob de Wit,Artist,Dutch,1695,1754,,European Paintings,Paintings,"Dutch, Amsterdam 1695–1754 Amsterdam",False,True,https://www.metmuseum.org/art/collection/search/437946,https://images.metmuseum.org/CRDImages/ep/original/DP145895.jpg,0,https://www.wikidata.org/wiki/Q19912873,https://www.wikidata.org/wiki/Q3117749,http://vocab.getty.edu/page/ulan/500020708
437384,Salome,Painting,1870,,,,Oil on canvas,63 x 40 1/2 in. (160 x 102.9 cm),,,,,Portraits|Women|Orientalist,Henri Regnault,Artist,French,1843,1871,,European Paintings,Paintings,"French, Paris 1843–1871 Buzenval",False,True,https://www.metmuseum.org/art/collection/search/437384,https://images.metmuseum.org/CRDImages/ep/original/ep16.95.R.jpg,0,https://www.wikidata.org/wiki/Q17505564,https://www.wikidata.org/wiki/Q553571,http://vocab.getty.edu/page/ulan/500022082
435813,Aeneas and the Sibyl in the Underworld,Painting,1630s,,,,Oil on copper,10 1/2 x 14 1/8 in. (26.7 x 35.9 cm),,,,,Male Nudes|Female Nudes|Aeneas|Sibyl,Jan Brueghel the Younger,Artist,Flemish,1601,1678,,European Paintings,Paintings,"Flemish, Antwerp 1601–1678 Antwerp",False,True,https://www.metmuseum.org/art/collection/search/435813,https://images.metmuseum.org/CRDImages/ep/original/DP234687.jpg,0,https://www.wikidata.org/wiki/Q19913202,https://www.wikidata.org/wiki/Q285933,http://vocab.getty.edu/page/ulan/500013747
