ObjectID,Title,Object Name,Date,Period,Dynasty,Reign,Medium,Dimensions,Culture,Country,Region,City,Subjects,Artist Name,Artist Role(s),Artist Nationality,Artist Date of Birth,Artist Date of Death,Artist Gender,department,classification,artistDisplayBio,isHighlight,isPublicDomain,objectURL,primaryImage,additionalImages_count,objectWikidata_URL,artistWikidata_URL,artistULAN_URL
212185,Souvenir spoon with view of the bull ring at Málaga and arms of Spain,Souvenir spoon,late 19th century,,,,Silver-gilt and enamel,Length: 5 1/8 in. (13 cm),,,,,Buildings|Coat of Arms,,,,,,,European Sculpture and Decorative Arts,Metalwork-Silver,,False,True,https://www.metmuseum.org/art/collection/search/212185,https://images.metmuseum.org/CRDImages/es/original/72798.jpg,0,,,
190840,Tile,Tile,1620–40,,,,Tin-glazed earthenware,"Overall (tile): 5 × 5 in. (12.7 × 12.7 cm);
Overall (whole panel): 21 × 16 in. (53.3 × 40.6 cm)",,,,,Men|Women|Horses|Flowers,,,,,,,European Sculpture and Decorative Arts,Ceramics-Pottery,,False,True,https://www.metmuseum.org/art/collection/search/190840,https://images.metmuseum.org/CRDImages/es/original/4765.jpg,0,,,
855208,"Dido, Queen of Carthage",Medal,1538–1564,,,,Bronze,Diameter: 1 3/4 in. (45 mm),,,,,,Alessandro Cesati,Artist,Italian,1538,1564,,European Sculpture and Decorative Arts,Medals and Plaquettes,"Italian, born Cyprus, active 1538–64",False,True,https://www.metmuseum.org/art/collection/search/855208,https://images.metmuseum.org/CRDImages/es/original/DP-34057-006.jpg,1,,https://www.wikidata.org/wiki/Q3609923,http://vocab.getty.edu/page/ulan/500068265
220677,Piece,Piece,late 16th century,,,,Metal thread on silk,L. 63 1/2 x W. 36 1/2 inches,,,,,Flowers,,,,,,,European Sculpture and Decorative Arts,Textiles-Embroidered,,False,True,https://www.metmuseum.org/art/collection/search/220677,https://images.metmuseum.org/CRDImages/es/original/46325.jpg,0,,,
193869,Snuffbox,Snuffbox,1770–80,,,,"Gold, silver, semi-precious stones",1-1/8 x 3-3/4 x 2-7/8 in.  (2.9 x 9.5 x 7.3 cm),,,,,Flowers,Johann Neuber of Schwartzenberg,Goldsmith,German,1736,1808,,European Sculpture and Decorative Arts,Metalwork-Gold and Platinum,1736–1808,False,True,https://www.metmuseum.org/art/collection/search/193869,https://images.metmuseum.org/CRDImages/es/original/39677.jpg,0,https://www.wikidata.org/wiki/Q116310756,,
197493,Parrot,Figure,ca. 1745,,,,Salt-glazed stoneware,Height: 5 3/8 in. (13.7 cm),,,,,Parrots,,,,,,,European Sculpture and Decorative Arts,Ceramics-Pottery,,False,True,https://www.metmuseum.org/art/collection/search/197493,https://images.metmuseum.org/CRDImages/es/original/DP-1174-011.jpg,0,,,
217241,Sampler,Sampler,1822,,,,Silk on linen,H. 16 x W. 10 inches (40.6 x 25.4 cm),,,,,Human Figures,,,,,,,European Sculpture and Decorative Arts,Textiles-Embroidered,,False,True,https://www.metmuseum.org/art/collection/search/217241,https://images.metmuseum.org/CRDImages/es/original/DP739_09.50.2580.jpg,0,,,
189637,Part of a console,Console,late 17th century,,,,Carved and painted wood,"Overall (confirmed): 12 x 11 x 8 3/8 in., 5.5lb. (30.5 x 27.9 x 21.3 cm, 2.4948kg)",,,,,,,,,,,,European Sculpture and Decorative Arts,Woodwork,,False,True,https://www.metmuseum.org/art/collection/search/189637,https://images.metmuseum.org/CRDImages/es/original/DP268330.jpg,0,,,
198771,The Holy Family,Diptych,16th century,,,,"Painted enamel on copper, partly gilt; gilt bronze",Diameter (of enamels): 2 3/8 in. (6 cm),,,,,Christ|Holy Family|Saint John the Baptist|Saint Joseph|Virgin Mary,,,,,,,European Sculpture and Decorative Arts,Enamels,,False,True,https://www.metmuseum.org/art/collection/search/198771,https://images.metmuseum.org/CRDImages/es/original/124721.jpg,0,,,
199319,Turkish woman (one of a pair),Figure,ca. 1760,,,,Salt-glazed stoneware painted in enamel colors,Height: 7 3/4 in. (19.7 cm),,,,,Portraits|Women,Meissen Manufactory,Manufactory,German,1710,9999,,European Sculpture and Decorative Arts,Ceramics-Pottery,"German, 1710–present",False,True,https://www.metmuseum.org/art/collection/search/199319,https://images.metmuseum.org/CRDImages/es/original/134252.jpg,0,,https://www.wikidata.org/wiki/Q822407,http://vocab.getty.edu/page/ulan/500054662
