ObjectID,Title,Object Name,Date,Period,Dynasty,Reign,Medium,Dimensions,Culture,Country,Region,City,Subjects,Artist Name,Artist Role(s),Artist Nationality,Artist Date of Birth,Artist Date of Death,Artist Gender,department,classification,artistDisplayBio,isHighlight,isPublicDomain,objectURL,primaryImage,additionalImages_count,objectWikidata_URL,artistWikidata_URL,artistULAN_URL
718888,Terracotta fragment of a kylix (drinking cup),Kylix fragment,second quarter of the 5th century BCE,Classical,,,Terracotta,,"Greek, Attic",,,,,,,,,,,Greek and Roman Art,Vases,,False,True,https://www.metmuseum.org/art/collection/search/718888,https://images.metmuseum.org/CRDImages/gr/original/DVB06873_1_ff.jpg,1,,,
753381,Terracotta fragment of a kylix (drinking cup) or a skyphos (deep drinking cup)?,Kylix or skyphos fragment?,last quarter of the 6th century BCE,Archaic,,,Terracotta,,"Greek, Attic",,,,,,,,,,,Greek and Roman Art,Vases,,False,True,https://www.metmuseum.org/art/collection/search/753381,https://images.metmuseum.org/CRDImages/gr/original/DVB13010_1_ff.jpg,1,,,
756205,Terracotta fragment of a kylix (drinking cup),Kylix fragment,early 5th century BCE,Archaic,,,Terracotta,,"Greek, Attic",,,,,,,,,,,Greek and Roman Art,Vases,,False,True,https://www.metmuseum.org/art/collection/search/756205,https://images.metmuseum.org/CRDImages/gr/original/DVB13105_1_ff.jpg,1,,,
713945,Terracotta fragment of a kylix (drinking cup),Kylix fragment,500–480 BCE,Archaic,,,Terracotta,,"Greek, Attic",,,,,Makron,Artist,,,,,Greek and Roman Art,Vases,,False,True,https://www.metmuseum.org/art/collection/search/713945,https://images.metmuseum.org/CRDImages/gr/original/DVB07539_1_ff.jpg,1,,https://www.wikidata.org/wiki/Q427706,http://vocab.getty.edu/page/ulan/500008500
733133,Terracotta fragment of a calyx-krater (bowl for mixing wine and water),Calyx-krater fragment,450–440 BCE,Classical,,,Terracotta,,"Greek, Attic",,,,,,,,,,,Greek and Roman Art,Vases,,False,True,https://www.metmuseum.org/art/collection/search/733133,https://images.metmuseum.org/CRDImages/gr/original/DVB08973_1_ff.jpg,1,,,
683628,Terracotta rim fragment of a kylix (drinking cup),Kylix fragment,5th century BCE,Archaic/Classical,,,Terracotta,,"Greek, Attic",,,,,,,,,,,Greek and Roman Art,Vases,,False,True,https://www.metmuseum.org/art/collection/search/683628,https://images.metmuseum.org/CRDImages/gr/original/DVB02149_1_ff.jpg,1,,,
669549,Terracotta fragment of a kylix (drinking cup),Kylix fragment,490–480 BCE,Late Archaic,,,Terracotta,,"Greek, Attic",,,,,,,,,,,Greek and Roman Art,Vases,,False,True,https://www.metmuseum.org/art/collection/search/669549,https://images.metmuseum.org/CRDImages/gr/original/DVB00393_1_ff.jpg,1,,,
246753,Pair of gold earrings with Erotes,"Earring with Erotes, pair",3rd century BCE,Hellenistic,,,Gold,diameter  5/8 in. (1.6 cm),Greek,,,,Eros,,,,,,,Greek and Roman Art,Gold and Silver,,False,True,https://www.metmuseum.org/art/collection/search/246753,https://images.metmuseum.org/CRDImages/gr/original/dp9811101-2.jpg,0,https://www.wikidata.org/wiki/Q116288463,,
693191,Terracotta fragment of a kylix (drinking cup),Kylix fragment,490–470 BCE,Late Archaic/Early Classical,,,Terracotta,,"Greek, Attic",,,,,,,,,,,Greek and Roman Art,Vases,,False,True,https://www.metmuseum.org/art/collection/search/693191,https://images.metmuseum.org/CRDImages/gr/original/DVB03607_1_ff.jpg,1,,,
241091,Terracotta plank-shaped figurine,"Figurine of a woman, plank-shaped",ca. 1900–1800 BCE,Middle Cypriot I,,,Terracotta,H. 8 1/8 in. (20.7 cm),Cypriot,,,,Women,,,,,,,Greek and Roman Art,Terracottas,,False,True,https://www.metmuseum.org/art/collection/search/241091,https://images.metmuseum.org/CRDImages/gr/original/DP364714.jpg,0,https://www.wikidata.org/wiki/Q116293541,,
689378,Terracotta fragment of a kylix (drinking cup),Kylix fragment,510–490 BCE,Archaic,,,Terracotta,,"Greek, Attic",,,,,,,,,,,Greek and Roman Art,Vases,,False,True,https://www.metmuseum.org/art/collection/search/689378,https://images.metmuseum.org/CRDImages/gr/original/DVB02794_1_ff.jpg,1,,,
244669,Glass perfume bottle,Perfume bottle,1st century CE,Early Imperial,,,Glass,"Height: 2 in. (5.1 cm)
Diam.: 1 1/2 x 13/16 in. (3.8 x 2.1 cm)",Roman,,,,,,,,,,,Greek and Roman Art,Glass,,False,True,https://www.metmuseum.org/art/collection/search/244669,https://images.metmuseum.org/CRDImages/gr/original/DP205603.jpg,0,,,
683667,Terracotta rim fragment of a kylix (drinking cup),Kylix fragment,mid-5th century BCE,Classical,,,Terracotta,,"Greek, Attic",,,,,,,,,,,Greek and Roman Art,Vases,,False,True,https://www.metmuseum.org/art/collection/search/683667,https://images.metmuseum.org/CRDImages/gr/original/DVB02213_1_ff.jpg,1,,,
728838,Terracotta fragment of a column-krater (bowl for mixing wine and water),Column-krater fragment,460–440 BCE,Classical,,,Terracotta,,"Greek, Attic",,,,,,,,,,,Greek and Roman Art,Vases,,False,True,https://www.metmuseum.org/art/collection/search/728838,https://images.metmuseum.org/CRDImages/gr/original/DVB08865_1_ff.jpg,1,,,
713561,Terracotta fragment of a kylix (drinking cup),Kylix fragment,490–470 BCE,Late Archaic/Early Classical,,,Terracotta,,"Greek, Attic",,,,,,,,,,,Greek and Roman Art,Vases,,False,True,https://www.metmuseum.org/art/collection/search/713561,https://images.metmuseum.org/CRDImages/gr/original/DVB07233_1_ff.jpg,1,,,
