ObjectID,Title,Object Name,Date,Period,Dynasty,Reign,Medium,Dimensions,Culture,Country,Region,City,Subjects,Artist Name,Artist Role(s),Artist Nationality,Artist Date of Birth,Artist Date of Death,Artist Gender,department,classification,artistDisplayBio,isHighlight,isPublicDomain,objectURL,primaryImage,additionalImages_count,objectWikidata_URL,artistWikidata_URL,artistULAN_URL
448917,Band Fragment,Band fragment,4th–5th century,,,,Wool; tapestry woven,"H. 11 1/2 in. (29.2 cm)
W. 6 in. (15.2 cm)",,Egypt,,,,,,,,,,Islamic Art,Textiles-Woven,,False,True,https://www.metmuseum.org/art/collection/search/448917,https://images.metmuseum.org/CRDImages/is/original/91223.jpg,0,,,
445801,Fragment of Roundel,Textile fragment,6th–8th century,,,,"Linen, wool; tapestry weave","H. 6 1/2 in. (16.5 cm)
W. 2 3/4 in. (7 cm)",,Egypt,,,,,,,,,,Islamic Art,Textiles,,False,True,https://www.metmuseum.org/art/collection/search/445801,https://images.metmuseum.org/CRDImages/is/original/86589.jpg,0,,,
457704,Coin,Coin,late 12th–early 13th century,,,,Copper,,,Iran,,Nishapur,,,,,,,,Islamic Art,Coins,,False,True,https://www.metmuseum.org/art/collection/search/457704,https://images.metmuseum.org/CRDImages/is/original/39.40.127.634a.JPG,1,,,
445257,Cover,Cover,17th century,,,,Silk and metal wrapped thread,"Textile: L. 54 in. (137.2 cm)
            W. 25 in. (63.5 cm)
Mount: L. 59 1/4 in. (150.5 cm)
            W. 30 1/2 in. (77.5 cm)",,Turkey,,,,,,,,,,Islamic Art,Textiles-Woven,,False,True,https://www.metmuseum.org/art/collection/search/445257,https://images.metmuseum.org/CRDImages/is/original/wb-08.109.11.JPG,9,,,
453376,Folio from a Qur'an Manuscript,Folio from a non-illustrated manuscript,dated 531 AH/1137 CE,,,,"Ink, gold, and opaque watercolor on paper","H. 7 13/16 in. (19.8 cm)
W. 5 1/16 in. (12.8 cm)",,Iran,,,,Muhammad al-Zanjani,Calligrapher,Iranian,,,,Islamic Art,Codices,Iranian,False,True,https://www.metmuseum.org/art/collection/search/453376,https://images.metmuseum.org/CRDImages/is/original/sf1996-294-5a.jpg,1,,,
454854,Kohl Flask,Kohl flask,probably 10th–12th century,,,,"Serpentine; carved, incised","H. 2 5/16 in. (5.8 cm)
W. 1 in. (2.6 m)",,,Iran or Central Asia,,,,,,,,,Islamic Art,Stone,,False,True,https://www.metmuseum.org/art/collection/search/454854,https://images.metmuseum.org/CRDImages/is/original/DP243799.jpg,6,https://www.wikidata.org/wiki/Q116273026,,
444166,Round Insert from a Coptic Tunic or Shawl,Roundel,7th century,,,,"Linen, wool; plain weave, tapestry weave","Mount: H. 12 1/8 in. (30.8 cm)
            W. 13 7/8 in. (35.2 cm)
             D. 1 5/8 in. (4.1 cm)",,Egypt,,,,,,,,,,Islamic Art,Textiles,,False,True,https://www.metmuseum.org/art/collection/search/444166,https://images.metmuseum.org/CRDImages/is/original/wb-90.5.687.JPG,5,,,
444326,Textile Fragment,Textile fragment,4th–5th century,,,,"Linen, wool","Max. H. 24 5/8 in. (62.6 cm)
Max. W. 17 11/16 in. (45 cm)",,Egypt,,,,,,,,,,Islamic Art,Textiles,,False,True,https://www.metmuseum.org/art/collection/search/444326,https://images.metmuseum.org/CRDImages/is/original/sf90-5-847a.jpg,1,,,
447576,Carpet,Carpet,18th century,,,,"Wool (warp, weft, pile); symmetrically knotted pile","Textile: L. 180 in. (457.2 cm)
             W. 80 in. (203.2 cm)",,,Caucasus,,,,,,,,,Islamic Art,Textiles-Rugs,,False,True,https://www.metmuseum.org/art/collection/search/447576,https://images.metmuseum.org/CRDImages/is/original/DP331051.jpg,21,,,
740957,Stucco Fragment,Fragment,probably 8th–12th century,,,,Stucco; carved and painted,"H. 5 1/8 in. (13 cm)
W. 1 9/16 in. (4 cm)
D. 13/16 in. (2 cm)",,Iran,,Nishapur,,,,,,,,Islamic Art,Stucco,,False,True,https://www.metmuseum.org/art/collection/search/740957,https://images.metmuseum.org/CRDImages/is/original/LC-N117-front.jpg,1,,,
450290,Fragment of a Jar,Fragment of a jar,16th century,,,,"Earthenware; gritty white body, decoration in blue, glazed",,,Iran,,Nishapur,,,,,,,,Islamic Art,Ceramics,,False,True,https://www.metmuseum.org/art/collection/search/450290,https://images.metmuseum.org/CRDImages/is/original/40.170.629.JPG,0,,,
740810,Stucco Fragment,Fragment,probably 8th–12th century,,,,"Stucco; carved, painted","H. 2 3/16 in. (5.5 cm)
W. 1 3/4 in. (4.5 cm)
D. 13/16 in. (2 cm)",,Iran,,Nishapur,,,,,,,,Islamic Art,Stucco,,False,True,https://www.metmuseum.org/art/collection/search/740810,https://images.metmuseum.org/CRDImages/is/original/LC-N1036-front.jpg,1,,,
450053,Button or Bead or Spindle Whorl,Button or bead or spindle whorl,8th–10th century,,,,Stone; incised,"Ht. 3/8 in. (1 cm)
W. 3/8 in. (1 cm)
D. 7/16 in. (1.1 cm)",,Iran,,Nishapur,,,,,,,,Islamic Art,Stone,,False,True,https://www.metmuseum.org/art/collection/search/450053,https://images.metmuseum.org/CRDImages/is/original/sf40-170-376a.jpg,1,,,
