ObjectID,Title,Object Name,Date,Period,Dynasty,Reign,Medium,Dimensions,Culture,Country,Region,City,Subjects,Artist Name,Artist Role(s),Artist Nationality,Artist Date of Birth,Artist Date of Death,Artist Gender,department,classification,artistDisplayBio,isHighlight,isPublicDomain,objectURL,primaryImage,additionalImages_count,objectWikidata_URL,artistWikidata_URL,artistULAN_URL
460542,Pendant with Cain and Abel,Pendant,second half 19th century,,,,"Gold enamel, rubies and pearls.","H. 6.5 cm, W. 4.7 cm.",Austrian (Vienna) or German (Frankfurt-am-Main),,,,Abel|Cain,,,,,,,Robert Lehman Collection,"Jewelry, Precious Metals and Precious Stones",,False,True,https://www.metmuseum.org/art/collection/search/460542,https://images.metmuseum.org/CRDImages/rl/original/SF-1975-1-1512.jpg,0,https://www.wikidata.org/wiki/Q116244395,,
459211,Head of a Young Woman,Drawing,1522,,,,Black chalk highlighted with white chalk (abraded) on green prepared paper.,7 7/8 x 5 15/16 in.  (20 x 15.1 cm),,,,,Heads|Women,Albrecht Dürer,Artist,German,1471,1528,,Robert Lehman Collection,Drawings,"German, Nuremberg 1471–1528 Nuremberg",True,True,https://www.metmuseum.org/art/collection/search/459211,https://images.metmuseum.org/CRDImages/rl/original/DP809594.jpg,2,https://www.wikidata.org/wiki/Q20187871,https://www.wikidata.org/wiki/Q5580,http://vocab.getty.edu/page/ulan/500115493
459596,The Grand Canal from the Carità to the Dogana da Mar,Drawing,ca. 1736–37,,,,"Pen and brown ink, gray wash",9 15/16 x 17 1/16 in.  (25.3 x 43.3 cm),,,,,Cities|Canals,Bernardo Bellotto,Artist,Italian,1722,1780,,Robert Lehman Collection,Drawings,"Italian, Venice 1722–1780 Warsaw",False,True,https://www.metmuseum.org/art/collection/search/459596,https://images.metmuseum.org/CRDImages/rl/original/DP-17358-066.jpg,2,,https://www.wikidata.org/wiki/Q164688,http://vocab.getty.edu/page/ulan/500028876
459336,Dutch Merchant Ships at Anchor or under Easy Sail in a Moderate Breeze,Drawing,ca. 1658,,,,"Pencil, brush and grayish brown wash",6 1/2 x 9 1/8 in.  (16.5 x 23.1 cm),,,,,Ships,Willem van de Velde I,Artist,Dutch,1611,1693,,Robert Lehman Collection,Drawings,"Dutch, Leiden 1611–1693 London",False,True,https://www.metmuseum.org/art/collection/search/459336,https://images.metmuseum.org/CRDImages/rl/original/DP-21943-001.jpg,1,,https://www.wikidata.org/wiki/Q722912,http://vocab.getty.edu/page/ulan/500014495
459478,The Last Communion of Saint Jerome,Drawing,ca. 1491–1503(?),,,,"Pen and brown ink, brown wash, traces of black chalk.",6 1/4 x 7 3/4 in.  (15.9 x 19.7 cm),,,,,Saint Jerome|Monks,Botticelli (Alessandro di Mariano Filipepi),Artist,Italian,1444,1510,,Robert Lehman Collection,Drawings,"Italian, Florence 1444/45–1510 Florence",False,True,https://www.metmuseum.org/art/collection/search/459478,https://images.metmuseum.org/CRDImages/rl/original/DP358982.jpg,3,https://www.wikidata.org/wiki/Q20184026,https://www.wikidata.org/wiki/Q5669,http://vocab.getty.edu/page/ulan/500015254
459475,Five Nude Infants in Various Poses,Drawing,ca. 1500,,,,"Metalpoint, traces of charcoal or black chalk, on  pale pinkish gray prepared paper.",9 3/8 x 7 7/16 in.  (23.8 x 18.9 cm),,,,,Infants,Raphael (Raffaello Sanzio or Santi),Artist,Italian,1483,1520,,Robert Lehman Collection,Drawings,"Italian, Urbino 1483–1520 Rome",False,True,https://www.metmuseum.org/art/collection/search/459475,https://images.metmuseum.org/CRDImages/rl/original/DP136376.jpg,3,,https://www.wikidata.org/wiki/Q5597,http://vocab.getty.edu/page/ulan/500023578
460356,Medusa mask,Plaquette,cast 16th century,,,,Copper alloy with warm brown patina and areas of a worn black patina on top.,6.5 x 10.5 cm.,,,,,Medusa,Severo Calzetta da Ravenna,Artist,Italian,1496,1543,,Robert Lehman Collection,Plaquettes,"Italian, active by 1496, died before 1543",False,True,https://www.metmuseum.org/art/collection/search/460356,https://images.metmuseum.org/CRDImages/rl/original/1334_03.jpg,1,,https://www.wikidata.org/wiki/Q3958521,http://vocab.getty.edu/page/ulan/500006878
460278,Apothecary jar (albarello),Albarello,ca. 1480–1500,,,,Maiolica (tin-glazed earthenware),Height: 11 3/4 in. (29.9 cm),"Italian, Faenza or Naples",,,,Men|Profiles|Women,,,,,,,Robert Lehman Collection,Ceramics-Pottery,,False,True,https://www.metmuseum.org/art/collection/search/460278,https://images.metmuseum.org/CRDImages/rl/original/DT3476.jpg,0,https://www.wikidata.org/wiki/Q116245420,,
460451,Candlestick in the Form of a Kneeling Angel,Candelabra,ca. 1590–1600,,,,"Reddish copper alloy covered with a natural, warm brown patina.",H. 27.5 cm,,,,,Angels,Giambologna,Artist,Netherlandish,1529,1608,,Robert Lehman Collection,Metalwork-Bronze,"Netherlandish, Douai 1529–1608 Florence",False,True,https://www.metmuseum.org/art/collection/search/460451,https://images.metmuseum.org/CRDImages/rl/original/SLP1390-1.jpg,2,https://www.wikidata.org/wiki/Q116244683,https://www.wikidata.org/wiki/Q220136,http://vocab.getty.edu/page/ulan/500016387
459035,Capriccio with a Square Tower and Two Houses,Painting,18th century,,,,"Oil on paper, laid down on Masonite",2 1/4 x 3 3/8 in. (5.7 x 8.6 cm),Italian,,,,Houses|Towers|Landscapes,Francesco Guardi,Artist,Italian,1712,1793,,Robert Lehman Collection,Paintings,"Italian, Venice 1712–1793 Venice",False,True,https://www.metmuseum.org/art/collection/search/459035,https://images.metmuseum.org/CRDImages/rl/original/DP328379.jpg,2,https://www.wikidata.org/wiki/Q20187051,https://www.wikidata.org/wiki/Q318769,http://vocab.getty.edu/page/ulan/500017409
