ObjectID,Title,Object Name,Date,Period,Dynasty,Reign,Medium,Dimensions,Culture,Country,Region,City,Subjects,Artist Name,Artist Role(s),Artist Nationality,Artist Date of Birth,Artist Date of Death,Artist Gender,department,classification,artistDisplayBio,isHighlight,isPublicDomain,objectURL,primaryImage,additionalImages_count,objectWikidata_URL,artistWikidata_URL,artistULAN_URL
467387,Panel with Bearded Man,Panel,19th century,,,,Bone,Overall: 4 1/4 x 1 1/16 x 1/2 in. (10.8 x 2.7 x 1.3 cm),European (Medieval style),,,,Profiles,,,,,,,Medieval Art,Bone,,False,True,https://www.metmuseum.org/art/collection/search/467387,https://images.metmuseum.org/CRDImages/md/original/sf30-95-206s1.jpg,1,,,
463595,Footed Cup with Falconer,Bowl,15th century,,,,"Earthenware, glazed","Overall: 4 7/16 x 5 3/8 in. (11.3 x 13.7 cm)
diam. of foot: 2 11/16 in. (6.9 cm)",Byzantine,,,,Men,,,,,,,Medieval Art,Ceramics,,False,True,https://www.metmuseum.org/art/collection/search/463595,https://images.metmuseum.org/CRDImages/md/original/sf12-45-1s7.jpg,6,https://www.wikidata.org/wiki/Q116276117,,
465318,Hairpin,Hairpin,7th century,,,,Gold,Overall: 5 1/16 x 7/16 x 3/16 in. (12.9 x 1.1 x 0.4 cm),Frankish,Northern France,,,,,,,,,,Medieval Art,Metalwork-Gold,,False,True,https://www.metmuseum.org/art/collection/search/465318,https://images.metmuseum.org/CRDImages/md/original/sf17-192-249s1.jpg,2,,,
478507,Vessel Fragment,Fragment,4th–7th century,,,,Alabaster,Overall: 1 7/8 x 1 9/16 x 13/16 in. (4.7 x 4 x 2 cm),Coptic,Byzantine Egypt,,,,,,,,,,Medieval Art,Lapidary Work-Alabaster,,False,True,https://www.metmuseum.org/art/collection/search/478507,https://images.metmuseum.org/CRDImages/md/original/Cop0302.jpg,0,,,
465535,Double-Sided Comb,Comb,7th century,,,,"Bone, iron pins",Overall: 5 1/16 x 1 3/4 x 9/16 in. (12.8 x 4.5 x 1.4 cm),Frankish,Germany,,Niederbreisig,,,,,,,,Medieval Art,Bone,,False,True,https://www.metmuseum.org/art/collection/search/465535,https://images.metmuseum.org/CRDImages/md/original/sf17-193-215s2.jpg,1,,,
477069,Glass Fragments from a Vessel,Fragment,4th–early 5th century,,,,Glass (green),Storage (petri dish diam.): 5 9/16 in. (14.1 cm),Coptic,Byzantine Egypt,,,,,,,,,,Medieval Art,Glass-Vessels,,False,True,https://www.metmuseum.org/art/collection/search/477069,https://images.metmuseum.org/CRDImages/md/original/cop0068.jpg,1,,,
696558,Fragment,Fragment,ca. 1150–ca. 1250,,,,"Glass, ceramic",L. 1 1/4 in. (3.2 cm),European or Middle Eastern,,,,,,,,,,,Medieval Art,Glass-Vessels,,False,True,https://www.metmuseum.org/art/collection/search/696558,https://images.metmuseum.org/CRDImages/md/original/28.99.474.jpg,4,,,
475008,Papyrus Fragment of a Letter,Fragment,580–640,,,,Papyrus with ink,"Overall: 6 7/8 x 5 7/8 in. (17.5 x 15 cm)
Framed: 7 1/2 x 6 7/16 in. (19 x 16.4 cm)",Coptic,Byzantine Egypt,,Thebes,,,,,,,,Medieval Art,Papyrus,,False,True,https://www.metmuseum.org/art/collection/search/475008,https://images.metmuseum.org/CRDImages/md/original/sf14-1-539s1.jpg,0,,,
464844,Disk Brooch,Brooch,6th century,,,,"Silver over iron core, garnet or glass paste, gold foil",Overall: 7/8 x 7/16 in. (2.2 x 1.1 cm),Frankish,,,,,,,,,,,Medieval Art,Metalwork-Silver,,False,True,https://www.metmuseum.org/art/collection/search/464844,https://images.metmuseum.org/CRDImages/md/original/sf17-191-151s1.jpg,1,,,
468551,Necklace,Necklace,6th–8th century,,,,"Gold, emeralds & agate intaglio","Overall: 15 11/16 x 1 7/8 x 3/16 in. (39.8 x 4.8 x 0.5 cm)
Pendant: 2 1/2 x 1 7/8 x 3/16 in. (6.3 x 4.8 x 0.5 cm)
Agate intaglio: 1 1/4 x 1 1/16 x 3/16 in. (3.2 x 2.7 x 0.5 cm)
Chain: 23 3/4 x 13/16 x 3/16 in. (60.4 x 2.1 x 0.5 cm)",Byzantine (?),,,,,,,,,,,Medieval Art,Metalwork-Gold,,False,True,https://www.metmuseum.org/art/collection/search/468551,https://images.metmuseum.org/CRDImages/md/original/sf58-43s1.jpg,4,,,
474486,Ostrakon,Ostrakon,7th century,,,,Limestone with ink inscription,4 1/8 x 3 11/16 in. (10.4 x 9.4 cm),Coptic,Byzantine Egypt,,,,,,,,,,Medieval Art,Miscellaneous-Stone,,False,True,https://www.metmuseum.org/art/collection/search/474486,https://images.metmuseum.org/CRDImages/md/original/sf12-180-74s1.jpg,1,,,
465593,Double-Sided Comb,Comb,7th century,,,,"Bone, iron pins",Overall: 3 3/8 x 1 3/8 x 1/2 in. (8.6 x 3.5 x 1.2 cm),Frankish,Germany,,Niederbreisig,,,,,,,,Medieval Art,Bone,,False,True,https://www.metmuseum.org/art/collection/search/465593,https://images.metmuseum.org/CRDImages/md/original/sf17-193-267s2.jpg,1,,,
464221,Oliphant,Oliphant,12th century,,,,"Elephant ivory, metal mounts",Overall: 16 15/16 x 3 9/16 in. (43 x 9 cm),South Italian,southern Italy,,,Eagles,,,,,,,Medieval Art,Ivories-Elephant,,False,True,https://www.metmuseum.org/art/collection/search/464221,https://images.metmuseum.org/CRDImages/md/original/DP302561.jpg,6,https://www.wikidata.org/wiki/Q116236486,,
