ObjectID,Title,Object Name,Date,Period,Dynasty,Reign,Medium,Dimensions,Culture,Country,Region,City,Subjects,Artist Name,Artist Role(s),Artist Nationality,Artist Date of Birth,Artist Date of Death,Artist Gender,department,classification,artistDisplayBio,isHighlight,isPublicDomain,objectURL,primaryImage,additionalImages_count,objectWikidata_URL,artistWikidata_URL,artistULAN_URL
3267,Dish,Dish,1835–40,,,,Pressed glass,Dimensions unavailable,American,United States,New England,,,,,,,,,The American Wing,,,False,True,https://www.metmuseum.org/art/collection/search/3267,https://images.metmuseum.org/CRDImages/ad/original/DP207354.jpg,0,https://www.wikidata.org/wiki/Q116370585,,
17515,Mrs. James Bleecker (Elizabeth Garland Bache),"Painting, miniature",ca. 1788,,,,Watercolor on ivory,1 7/8 x 1 5/8 in. (4.8 x 4.1 cm),American,,,,Portraits|Women,John Ramage,Artist,American,1748,1802,,The American Wing,,Ireland ca. 1748–1802 Montreal,False,True,https://www.metmuseum.org/art/collection/search/17515,https://images.metmuseum.org/CRDImages/ad/original/DP217065.jpg,1,https://www.wikidata.org/wiki/Q20176921,https://www.wikidata.org/wiki/Q6254141,http://vocab.getty.edu/page/ulan/500116378
15372,Seascape (from Sketchbook VII),Drawing,1886,,,,"Black ink, graphite, on off-white wove paper",5 x 7 1/2 in. (12.7 x 19.1 cm),American,,,,Seascapes,William Trost Richards,Artist,American,1833,1905,,The American Wing,,"American, Philadelphia, Pennsylvania 1833–1905 Newport, Rhode Island",False,True,https://www.metmuseum.org/art/collection/search/15372,https://images.metmuseum.org/CRDImages/ad/original/257784.jpg,0,,https://www.wikidata.org/wiki/Q1985982,http://vocab.getty.edu/page/ulan/500014455
3860,Funeral spoon,Funeral spoon,ca. 1688,,,,Silver,L. 7 5/8 in. (19.4 cm); WT: 1oz. 12 dwt. (50.3 g),American,United States,Mid-Atlantic,Albany,,,,,,,,The American Wing,,,False,True,https://www.metmuseum.org/art/collection/search/3860,https://images.metmuseum.org/CRDImages/ad/original/DP250625.jpg,2,https://www.wikidata.org/wiki/Q116370136,,
7370,Saucepan,Saucepan,1800–1830,,,,Silver,"Overall: 3 3/8 x 7 5/16 in. (8.6 x 18.6 cm); 5 oz. 10 dwt. (170.7 g)
Lip: Diam. 4 1/8 in. (10.5 cm)
Base: Diam. 2 3/4 in. (7 cm)
Body: H. 2 3/8 in. (6 cm)",American,United States,Mid-Atlantic,Philadelphia,,John McMullin,Maker,American,1765,1843,,The American Wing,,1765–1843,False,True,https://www.metmuseum.org/art/collection/search/7370,https://images.metmuseum.org/CRDImages/ad/original/57650.jpg,0,https://www.wikidata.org/wiki/Q116342600,https://www.wikidata.org/wiki/Q67998349,(not assigned)
7135,Sauce Dish,Sauce dish,1885–87,,,,Porcelain,H. 1 1/16 in. (2.7 cm); Diam. 5 in. (12.7 cm),American,United States,Mid-Atlantic,Brooklyn,,Union Porcelain Works,Maker,American,1863,1922,,The American Wing,,1863–1922,False,True,https://www.metmuseum.org/art/collection/search/7135,https://images.metmuseum.org/CRDImages/ad/original/DP258764.jpg,0,https://www.wikidata.org/wiki/Q116349113,https://www.wikidata.org/wiki/Q18356506,http://vocab.getty.edu/page/ulan/500333024
13634,"Coverlet, Saint Ann's Robe or Governor's Garden pattern",Coverlet,ca. 1825,,,,"Wool and cotton, woven",92 1/2 x 91 in. (235 x 231.1 cm),American,,,,,,,,,,,The American Wing,,,False,True,https://www.metmuseum.org/art/collection/search/13634,https://images.metmuseum.org/CRDImages/ad/original/17749_10.125.409.jpg,1,,,
7926,Strainer,Strainer,ca. 1730–75,,,,Silver,"Overall: 1 1/2 x 8 3/16 in. (3.8 x 20.8 cm); 4 oz. 16 dwt. (149.2 g)
Bowl: Diam. 4 in. (10.2 cm)",American,,,,,,,,,,,The American Wing,,,False,True,https://www.metmuseum.org/art/collection/search/7926,https://images.metmuseum.org/CRDImages/ad/original/DP110430.jpg,1,https://www.wikidata.org/wiki/Q116344928,,
7439,Shoe Buckle,Shoe buckle,1770–1800,,,,Steel and silver plate on copper or brass,3 1/4 x 2 3/4 in. (8.3 x 7 cm),,,,,,,,,,,,The American Wing,,,False,True,https://www.metmuseum.org/art/collection/search/7439,https://images.metmuseum.org/CRDImages/ad/original/57683.jpg,0,,,
1243,Candlestick,Candlestick,1840–60,,,,Yellow glass,H. 10 3/8 in. (26.4 cm),American,United States,New England,,Dolphins,,,,,,,The American Wing,,,False,True,https://www.metmuseum.org/art/collection/search/1243,https://images.metmuseum.org/CRDImages/ad/original/ADA155.jpg,0,https://www.wikidata.org/wiki/Q116372448,,
