ObjectID,Title,Object Name,Date,Period,Dynasty,Reign,Medium,Dimensions,Culture,Country,Region,City,Subjects,Artist Name,Artist Role(s),Artist Nationality,Artist Date of Birth,Artist Date of Death,Artist Gender,department,classification,artistDisplayBio,isHighlight,isPublicDomain,objectURL,primaryImage,additionalImages_count,objectWikidata_URL,artistWikidata_URL,artistULAN_URL
326731,Cylinder seal with cultic scene,Cylinder seal,ca. 7th century BCE,Neo-Assyrian / Neo-Babylonian,,,White Chalcedony (Quartz),0.85 in. (2.16 cm),Assyro-Babylonian,,Mesopotamia,,,,,,,,,Ancient Near Eastern Art,,,False,True,https://www.metmuseum.org/art/collection/search/326731,https://images.metmuseum.org/CRDImages/an/original/SS1983_314_11.jpg,0,,,
327368,Short sword and scabbard,Sword and scabbard,ca. 6th–7th century CE,Sasanian,,,"Silver (scabbard and hilt), iron (blade)",11 7/8 × 2 3/8 × 13/16 in. (30.1 × 6.1 × 2.1 cm),Sasanian,,Iran,,,,,,,,,Ancient Near Eastern Art,,,False,True,https://www.metmuseum.org/art/collection/search/327368,https://images.metmuseum.org/CRDImages/an/original/DT5918.jpg,0,,,
326143,Jar rim sherd,Jar,ca. late 3rd millennium BCE,Early Bronze Age,,,Ceramic,2.48 x 4.45 in. (6.3 x 11.3 cm),,,Mesopotamia,,,,,,,,,Ancient Near Eastern Art,,,False,True,https://www.metmuseum.org/art/collection/search/326143,https://images.metmuseum.org/CRDImages/an/original/DP-29136-001.jpg,0,,,
326217,Umbo or stud,Umbo or stud,ca. 9th century BCE,"Iron Age II, Hasanlu Period IV",,,Bronze,5 1/4 x 1/16 in. (13.3 x 0.2 cm),Iran,,Iran,,,,,,,,,Ancient Near Eastern Art,,,False,True,https://www.metmuseum.org/art/collection/search/326217,https://images.metmuseum.org/CRDImages/an/original/ME1976_233_45.jpg,0,,,
323638,Sherd,Sherd,ca. 3100–2500 BCE,Early Bronze Age,,,"Ceramic, paint",2.87 x 0.28 in. (7.29 x 0.71 cm),Iran,,Iran,,,,,,,,,Ancient Near Eastern Art,,,False,True,https://www.metmuseum.org/art/collection/search/323638,https://images.metmuseum.org/CRDImages/an/original/DP-28742-001.jpg,1,,,
325204,Stud,Stud,ca. 9th century BCE,"Iron Age II, Hasanlu Period IV",,,"Gold, copper/bronze",H. 1/2 × Diam. 7/8 in. (1.3 × 2.3 cm),Iran,,Iran,,,,,,,,,Ancient Near Eastern Art,,,False,True,https://www.metmuseum.org/art/collection/search/325204,https://images.metmuseum.org/CRDImages/an/original/DP-38732-001.jpg,1,,,
326592,Openwork rattle bell,Rattle bell,ca. 9th–8th century BCE,Iron Age II-III,,,Bronze,3 1/4 × 2 1/16 × 2 1/16 in. (8.2 × 5.2 × 5.2 cm),Iran,,Western Iran,,,,,,,,,Ancient Near Eastern Art,,,False,True,https://www.metmuseum.org/art/collection/search/326592,https://images.metmuseum.org/CRDImages/an/original/ME1978_514_18.jpg,0,,,
322575,Harness ring,Harness ring,ca. 8th–7th century BCE,Iron Age III,,,Bronze,2 5/8 × 2 3/8 × 1/2 in. (6.7 × 6.1 × 1.3 cm),Iran,,"Iran, probably from Luristan",,,,,,,,,Ancient Near Eastern Art,,,False,True,https://www.metmuseum.org/art/collection/search/322575,https://images.metmuseum.org/CRDImages/an/original/DP-38458-001.jpg,1,,,
323138,Scarab seal,Stamp seal,ca. 1786–1650 BCE,"Dynasty 15-17, 2nd Intermediate Period, Hyksos",,,"Steatite, bone colored","Seal Face: 1.35 x 1.98 cm
Height: 0.64
String Hole: 0.15 cm",,,Levant,,,,,,,,,Ancient Near Eastern Art,,,False,True,https://www.metmuseum.org/art/collection/search/323138,https://images.metmuseum.org/CRDImages/an/original/ss34_126_28.jpg,0,,,
326394,Tetradrachm,Coin,ca. 304–294 BC,,,,Silver,"Thickness: 3/16 in. (0.6 cm)
Diameter: 1 in. (2.5 cm)",Seleucid,,Iran,,Men,,,,,,,Ancient Near Eastern Art,,,False,True,https://www.metmuseum.org/art/collection/search/326394,https://images.metmuseum.org/CRDImages/an/original/DP-36520-001.jpg,1,,,
