ObjectID,Title,Object Name,Date,Period,Dynasty,Reign,Medium,Dimensions,Culture,Country,Region,City,Subjects,Artist Name,Artist Role(s),Artist Nationality,Artist Date of Birth,Artist Date of Death,Artist Gender,department,classification,artistDisplayBio,isHighlight,isPublicDomain,objectURL,primaryImage,additionalImages_count,objectWikidata_URL,artistWikidata_URL,artistULAN_URL
23604,Arrowhead (<i>Yanone</i>),Arrowhead (<i>Yanone</i>),18th century,,,,Steel,L. 10 in. (25.4 cm); L. of head 3 in. (7.6 cm); W. 1 1/8 in. (2.9 cm); Wt. 1.2 oz. (34 g),Japanese,Japan,,,,,,,,,,Arms and Armor,Archery Equipment-Arrowheads,,False,True,https://www.metmuseum.org/art/collection/search/23604,https://images.metmuseum.org/CRDImages/aa/original/LC-32_75_534-001.jpg,0,,,
33951,Buckle,Buckle,15th–17th century,,,,Steel,H. 13/16 in. (2.1 cm); W. 1 1/16 in. (2.7 cm); thickness 3/16 in. (0.5 cm); Wt. 0.1 oz. (3 g),European,,,,,,,,,,,Arms and Armor,Miscellaneous-Buckles & Ornament,,False,True,https://www.metmuseum.org/art/collection/search/33951,https://images.metmuseum.org/CRDImages/aa/original/LC-29_158_861-001.jpg,0,,,
24771,Knife Handle (Kozuka) with Certificate of Authenticity (Orikami),Knife handle (Kozuka) with certificate of authenticity (Orikami),17th century,,,,"Copper-gold alloy (shakudō), gold, silver",L. of knife handle (kozuka) (a) 3 13/16 in. (9.7 cm); W. of knife handle (kozuka) (a) 9/16 in. (1.4 cm),Japanese,Japan,,,,Gotō Renjō (Mitsutomo),Fittings maker,Japanese,1628,1708,,Arms and Armor,Sword Furniture-Kozuka,"Japanese, 1628–1708, tenth-generation Gotō master",False,True,https://www.metmuseum.org/art/collection/search/24771,https://images.metmuseum.org/CRDImages/aa/original/LC-45_24_30a-001.jpg,1,,,
23262,Gauntlet for the Right Hand,Gauntlet for the right hand,ca. 1430–40,,,,Steel,L. 9 1/4 in. (23.5 cm); W. 5 in. (12.7 cm); D. 5 1/4 in. (13.3 cm); Wt. 1 lb. 0.9 oz. (479.1 g),Italian,Italy,,,,,,,,,,Arms and Armor,Armor Parts-Gauntlets,,False,True,https://www.metmuseum.org/art/collection/search/23262,https://images.metmuseum.org/CRDImages/aa/original/29.158.227_001Sept2014.jpg,4,https://www.wikidata.org/wiki/Q116326541,,
27683,Brigandine Plate,Brigandine plate,1400–1450,,,,Iron alloy,H. 10 in. (25.4 cm); W. 7 7/8 in. (20 cm); Wt. 1 lb. 3.7 oz. (558.5 g),Italian,Italy,,,,,,,,,,Arms and Armor,Armor Parts,,False,True,https://www.metmuseum.org/art/collection/search/27683,https://images.metmuseum.org/CRDImages/aa/original/29.150.90dd_001august2014.jpg,1,,,
23522,Arrowhead (<i>Yanone</i>),Arrowhead (<i>Yanone</i>),18th century,,,,Steel,L. 10 3/4 in. (27.3 cm); L. of head 5 in. (12.7 cm); W. 3 in. (7.6 cm); Wt. 3.1 oz. (87.9 g),Japanese,Japan,,,,,,,,,,Arms and Armor,Archery Equipment-Arrowheads,,False,True,https://www.metmuseum.org/art/collection/search/23522,https://images.metmuseum.org/CRDImages/aa/original/LC-32_75_451-001.jpg,0,,,
33547,Bit Bosses,Bit boss,16th century,,,,"Copper, enamel, silver, gold",14.25.1803b; Diam. 3 3/4 in. (9.5 cm); Wt. 1.1 oz. (31.2 g); 14.25.1803c; Diam. 3 3/4 in. (9.5 cm); Wt. 0.8 oz. (22.7 g),German,Germany,,,Birds,,,,,,,Arms and Armor,Equestrian Equipment-Bits,,False,True,https://www.metmuseum.org/art/collection/search/33547,https://images.metmuseum.org/CRDImages/aa/original/LC-14_25_1803b-001.jpg,1,,,
26514,Comb Morion,Comb morion,ca. 1580–90,,,,"Steel, brass, leather",H. 12 1/2 in. (31.75 cm); W. 9 1/2 in. (24.13  cm); D. 16 1/2 in. (41.9 cm); Wt. 3 lb. 15 oz. (1771 g),"German, possibly Brunswick",Germany,,possibly Brunswick,,,,,,,,Arms and Armor,Helmets,,False,True,https://www.metmuseum.org/art/collection/search/26514,https://images.metmuseum.org/CRDImages/aa/original/DP22321.jpg,5,,,
34267,Morion-Cabasset,Morion-cabasset,ca. 1575,,,,"Steel, brass, leather",H. 11 5/8 in. (29.5 cm); W. 9 1/16 in. (23 cm); D. 13 11/16 in. (34.8 cm); Wt. 2 lb. 10 oz. (1192 g),Italian,Italy,,,,,,,,,,Arms and Armor,Helmets,,False,True,https://www.metmuseum.org/art/collection/search/34267,https://images.metmuseum.org/CRDImages/aa/original/29.158.20_007AA2015.jpg,4,,,
22817,Arrowhead (<i>Yanone</i>),Arrowhead (<i>Yanone</i>),18th century,,,,Steel,L. 5 1/4 in. (13.3 cm); L. of head 1 3/16 in. (3 cm); W. 3/8 in. (1 cm); Wt. 0.3 oz. (8.5 g),Japanese,Japan,,,,,,,,,,Arms and Armor,Archery Equipment-Arrowheads,,False,True,https://www.metmuseum.org/art/collection/search/22817,https://images.metmuseum.org/CRDImages/aa/original/LC-32_75_680-001.jpg,0,,,
32975,Coin (Crown) Showing Charles I,Coin (Crown),1625,,,,"Silver, gold",Diam. 1 11/16 in. (4.2 cm); thickness 1/8 in. (0.3 cm); Wt. 1.1 oz. (31.2 g),British,England,,,Men|Horses,,,,,,,Arms and Armor,Miscellaneous-Coins and Medals,,False,True,https://www.metmuseum.org/art/collection/search/32975,https://images.metmuseum.org/CRDImages/aa/original/22.122.24_001nov2014.jpg,1,,,
894751,Armor (<i>Nimai-Dō Gusoku</i>) with Box,Armor (<i>Nimai-Dō Gusoku</i>) with box,late 16th–early 17th century,,,,"Iron, leather, lacquer, textile, wood",H. approx. 67 1/2 in. (171.5 cm),Japanese,Japan,,,,,,,,,,Arms and Armor,Armor,,False,True,https://www.metmuseum.org/art/collection/search/894751,https://images.metmuseum.org/CRDImages/aa/original/DP-34638-003.jpg,4,,,
30026,Sword Guard (Tsuba),Sword guard (Tsuba),ca. 1860,,,,"Iron, gold, copper",H. 3 1/4 in. (8.3 cm); W. 2 7/8 in. (7.3 cm); thickness 3/16 in. (0.5 cm); Wt. 5.3 oz. (150.3 g),Japanese,Japan,,,Ducks,,,,,,,Arms and Armor,Sword Furniture-Tsuba,,False,True,https://www.metmuseum.org/art/collection/search/30026,https://images.metmuseum.org/CRDImages/aa/original/36.120.14_001mar2014.jpg,1,,,
625352,Plate twelve from Nouveavx Desseins D'Arquebvseries,Ornament print from a firearms pattern book,dated 1736,,,,Engraving,7 1/2 x 9 3/8 in. (19 x 23.8 cm),"French, Paris",France,,Paris,Birds|Ornament|Men,De Lacollombe,Engraver,French,1702,1736,,Arms and Armor,Works on Paper,"French, Paris, active ca. 1702–ca. 1736",False,True,https://www.metmuseum.org/art/collection/search/625352,https://images.metmuseum.org/CRDImages/aa/original/DP320297.jpg,0,,,
22806,Arrowhead (<i>Yanone</i>),Arrowhead (<i>Yanone</i>),18th century,,,,Steel,L. 6 3/8 in. (16.2 cm); L. of head 1 1/2 in. (3.8 cm); W. 3/8 in. (1 cm); Wt. 0.4 oz. (11.3 g),Japanese,Japan,,,,,,,,,,Arms and Armor,Archery Equipment-Arrowheads,,False,True,https://www.metmuseum.org/art/collection/search/22806,https://images.metmuseum.org/CRDImages/aa/original/LC-32_75_669-001.jpg,0,,,
35731,Reinforcing Plates of Armor for the Tilt,Reinforcing plates of armor for the tilt,dated 1551,,,,Steel,grandguard (21.138.2): L. 12 3/4 in. (32.39 cm); W. 14 1/8 in. (35.86 cm); Wt. 4 lb. 4 oz. (1928 g); tilting buffe (21.138.3): L. 15 in. (38.1 cm); W. 9 3/4 in. (24.77 cm); Wt. 4 lb.11 oz. (2126 g); elbow guard (21.138.4): L. 10 3/4 in. (27.31 cm); W. 7 7/8 in. (19.99 cm); Wt. 2 lb. 13 oz. (1276 g),"Austrian, Innsbruck",Austria,,Innsbruck,,,,,,,,Arms and Armor,Armor Parts,,False,True,https://www.metmuseum.org/art/collection/search/35731,https://images.metmuseum.org/CRDImages/aa/original/21.138.2_.4_001june2014.jpg,3,https://www.wikidata.org/wiki/Q116324826,,
22058,Helmet (Kabuto),Helmet (kabuto),17th century,,,,"Iron, lacquer, silk, brass",9 in. (22.8 cm); 15 in. (38.1 cm).,Japanese,Japan,,,,,,,,,,Arms and Armor,Helmets,,False,True,https://www.metmuseum.org/art/collection/search/22058,https://images.metmuseum.org/CRDImages/aa/original/1261.jpg,0,,,
31397,Kris with Sheath,Kris with sheath,16th–19th century,,,,"Steel, wood, ivory, silver, copper",L. with sheath 18 1/2 in. (47 cm); L. without sheath 17 3/8 in. (44.1 cm); L. of blade 14 1/4 in. (36.2 cm); W. 3 1/2 in. (8.9 cm); Wt. 8 oz. (226.8 g); Wt. of sheath 3.9 oz. (110.6 g),Sumatran,Indonesia,,,,,,,,,,Arms and Armor,Krisses,,False,True,https://www.metmuseum.org/art/collection/search/31397,https://images.metmuseum.org/CRDImages/aa/original/LC-36_25_1198a_b-001-2.jpg,1,,,
23530,Arrowhead (<i>Yanone</i>),Arrowhead (<i>Yanone</i>),18th century,,,,Steel,L. 8 5/8 in. (21.9 cm); L. of head 3 3/8 in. (8.6 cm); W. 4 1/2 in. (11.4 cm); Wt. 4.3 oz. (121.9 g),Japanese,Japan,,,,,,,,,,Arms and Armor,Archery Equipment-Arrowheads,,False,True,https://www.metmuseum.org/art/collection/search/23530,https://images.metmuseum.org/CRDImages/aa/original/LC-32_75_459-001.jpg,0,,,
31545,Knife (Phia Kaetta),Knife (Piha kaetta),18th–19th century,,,,"Wood, brass, steel",L. 8 13/16 in. (22.4 cm); W. 1 in. (2.5 cm); Wt. 2.4 oz. (68 g),Sri Lankan,Sri Lanka,,,,,,,,,,Arms and Armor,Knives,,False,True,https://www.metmuseum.org/art/collection/search/31545,https://images.metmuseum.org/CRDImages/aa/original/36.25.954_001Mar2015_2.jpg,0,,,
34294,Staff Weapon,Staff weapon,15th century,,,,"Steel, wood",L. 94 1/8 in. (238.9 cm); L. of head 20 1/2 in. (52 cm); W. 8 in. (20.3 cm); Wt. 7 lb. 2 oz. (3230 g),Italian,Italy,,,,,,,,,,Arms and Armor,Shafted Weapons,,False,True,https://www.metmuseum.org/art/collection/search/34294,https://images.metmuseum.org/CRDImages/aa/original/29.156.10_002jan2015.jpg,1,,,
33454,Sword Guard (Tsuba),Sword guard (Tsuba),ca. 1615–1868,,,,"Iron, copper",H. 3 1/4 in. (8.3 cm); W. 3 1/16 in. (7.8 cm); thickness 3/16 in. (0.5 cm); Wt. 4.2 oz. (119.1 g),Japanese,Japan,,,Birds|Men|Horses,,,,,,,Arms and Armor,Sword Furniture-Tsuba,,False,True,https://www.metmuseum.org/art/collection/search/33454,https://images.metmuseum.org/CRDImages/aa/original/19.154.67_001feb2014.jpg,1,,,
27181,Crinet,Crinet,ca. 1535,,,,Steel,"L. 37 1/2 in. (95.2 cm); W. 11 3/4 in. (29.9 cm); Wt. 6 lb. 14 oz. (3,070 g)","German, Nuremberg",Germany,,Nuremberg,,Valentin Siebenbürger,Armorer,German,1485,1564,,Arms and Armor,Armor for Horse,"German, Nuremberg, ca. 1510–1564, master in 1531",False,True,https://www.metmuseum.org/art/collection/search/27181,https://images.metmuseum.org/CRDImages/aa/original/DP108798.jpg,2,,https://www.wikidata.org/wiki/Q56641200,http://vocab.getty.edu/page/ulan/500061643
24027,Helmet,Helmet,late 16th century,,,,"Copper alloy (tombak), gold, leather, textile",H. including nasal 14 1/4 in. (36.2 cm); H. excluding nasal 9 7/8 in. (25.1 cm); W. 9 in. (22.9 cm); D. 11 in. (27.9 cm); Wt. 2 lb. 13.7 oz. (1295.6 g),Turkish,Turkey,,,,,,,,,,Arms and Armor,Helmets,,False,True,https://www.metmuseum.org/art/collection/search/24027,https://images.metmuseum.org/CRDImages/aa/original/DP151792.jpg,1,https://www.wikidata.org/wiki/Q116394304,,
30659,Spear (Kay-Yan),Spear (Kay-yan),18th–19th century,,,,"Steel, wood, cane (rattan)",L. 63 1/2 in. (161.3 cm); L. of head 10 11/16 in. (27.1 cm); W. 3 3/8 in. (8.6 cm); Wt. 20.7 oz. (586.8 g),"Philippine, Igorot",Philippines,,,,,,,,,,Arms and Armor,Shafted Weapons,,False,True,https://www.metmuseum.org/art/collection/search/30659,https://images.metmuseum.org/CRDImages/aa/original/36.25.2046_002jan2015.jpg,1,,,
25571,Badge or Harness Pendant,Badge or harness pendant,14th century,,,,"Copper, gold, enamel",H. 4 in. (10.2 cm); W. 2 3/4 in. (7 cm); Wt. 1.5 oz. (42.5 g),Spanish,Spain,,,Men|Women,,,,,,,Arms and Armor,Miscellaneous-Badges,,False,True,https://www.metmuseum.org/art/collection/search/25571,https://images.metmuseum.org/CRDImages/aa/original/LC-04.3.454-001.jpg,0,,,
31540,Dagger (Katar),Dagger (Katar),18th century,,,,"Steel, silver",H. 16 5/8 in. (42.2 cm); W. 3 7/16 in. (8.7 cm); Wt. 1 lb. 3.8 oz. (561.3 g),Indian,South India,,,,,,,,,,Arms and Armor,Daggers,,False,True,https://www.metmuseum.org/art/collection/search/31540,https://images.metmuseum.org/CRDImages/aa/original/36.25.948_003july2014.jpg,1,,,
29350,Snaffle Bit,Bit,9th–11th century,,,,Iron alloy,W. 5 1/4 in. (13.3 cm); Wt. 3.3 oz. (93.6 g),German,Poland,,Dolkheim,,,,,,,,Arms and Armor,Equestrian Equipment-Bits,,False,True,https://www.metmuseum.org/art/collection/search/29350,https://images.metmuseum.org/CRDImages/aa/original/LC-42_50_501-001.jpg,0,,,
25116,Pair of Stirrups (Yob Cha),Pair of stirrups (Yob cha),15th–18th century,,,,"Iron, gold, silver",Stirrup (a); H. 5 7/8 in. (14.9 cm); W. 5 in. (12.7 cm); D. 3 1/8 in. (7.9 cm); Wt. 15.4 oz. (436.6 g); stirrup (b); H. 6 in. (15.2 cm); W. 5 in. (12.7 cm); D. 3 in. (7.6 cm); Wt. 14.6 oz. (413.9 g),Tibetan,Tibet,,,,,,,,,,Arms and Armor,Equestrian Equipment-Stirrups,,False,True,https://www.metmuseum.org/art/collection/search/25116,https://images.metmuseum.org/CRDImages/aa/original/DP113392.jpg,0,,,
29564,Powder Horn,Powder horn,1764,,,,"Horn (cow), wood",L. 12 1/2 in. (31.8 cm); Diam. 3 1/4 in. (8.3 cm); Wt. 12.6 oz. (357.2 g),"Colonial American, Hampton Falls, New Hampshire",United States,,Hampton Falls,,Joseph Cram,Maker,,,9999,,Arms and Armor,Firearms Accessories-Powder Horns,,False,True,https://www.metmuseum.org/art/collection/search/29564,https://images.metmuseum.org/CRDImages/aa/original/37.131.9_002Sept2014.jpg,3,,,
28219,Knife Handle (Kozuka),Knife handle (Kozuka),mid-19th century,,,,"Copper-gold alloy (shakudō), gold, silver",L. 3 13/16 in. (9.7 cm); W. 9/16 in. (1.4 cm); thickness 1/4 in. (0.6 cm); Wt. 1.2 oz. (34 g),Japanese,Japan,,,,,,,,,,Arms and Armor,Sword Furniture-Kozuka,,False,True,https://www.metmuseum.org/art/collection/search/28219,https://images.metmuseum.org/CRDImages/aa/original/LC-43_120_329-001.jpg,1,,,
26782,Partisan,Partisan,ca. 1620,,,,"Steel, wood, iron, textile, metallic thread",L. 90 in. (228.5 cm); L. of head 19 1/2 in. (49.5 cm); W. 5 1/2 in. (14 cm); Wt. 6 lbs. 5 oz. (2863.3 g),Italian,Italy,,,Coat of Arms,,,,,,,Arms and Armor,Shafted Weapons,,False,True,https://www.metmuseum.org/art/collection/search/26782,https://images.metmuseum.org/CRDImages/aa/original/14.25.372_002jan2015.jpg,1,,,
696693,Fragment,Fragment,ca. 1150–ca. 1250,,,,"Glass, ceramic",greatest H. 3 1/4 in. (8.3 cm); smallest H. 3/4 in. (1.9 cm),European or Middle Eastern,,,,,,,,,,,Arms and Armor,Glass-Vessels,,False,True,https://www.metmuseum.org/art/collection/search/696693,https://images.metmuseum.org/CRDImages/aa/original/DP276488.jpg,3,,,
33060,Rosette,Rosette,dated 1575,,,,Brass,Diam. 5/8 in. (1.6 cm); thickness 1/16 in. (0.2 cm); Wt. 0.03 oz. (1 g),German,Germany,,,,,,,,,,Arms and Armor,Miscellaneous-Buckles & Ornament,,False,True,https://www.metmuseum.org/art/collection/search/33060,https://images.metmuseum.org/CRDImages/aa/original/LC-20_152_205-001.jpg,0,,,
31504,Dagger (Katar),Dagger (Katar),1852,,,,"Steel, gold",L. 17 1/2 in. (44.5 cm); W. 3 9/16 in. (9 cm); Wt. 1 lb. 4.4 oz. (578.3 g),"Indian, Rajasthan",India,,Bundi,,,,,,,,Arms and Armor,Daggers,,False,True,https://www.metmuseum.org/art/collection/search/31504,https://images.metmuseum.org/CRDImages/aa/original/36.25.912_002july2014.jpg,1,,,
31547,Knife (Piha Kaetta),Knife (Piha kaetta),18th–19th century,,,,"Steel, wood, brass, silver",L. 11 3/8 in. (28.9 cm); W. 2 in. (5.1 cm); Wt. 9.7 oz. (275 g),Sri Lankan,Sri Lanka,,,,,,,,,,Arms and Armor,Knives,,False,True,https://www.metmuseum.org/art/collection/search/31547,https://images.metmuseum.org/CRDImages/aa/original/36.25.956_001Mar2015.jpg,0,,,
