ObjectID,Title,Object Name,Date,Period,Dynasty,Reign,Medium,Dimensions,Culture,Country,Region,City,Subjects,Artist Name,Artist Role(s),Artist Nationality,Artist Date of Birth,Artist Date of Death,Artist Gender,department,classification,artistDisplayBio,isHighlight,isPublicDomain,objectURL,primaryImage,additionalImages_count,objectWikidata_URL,artistWikidata_URL,artistULAN_URL
309067,Ornament Curved Plaque with Fish Motif,Ornament,12th–15th century,,,,"Silver (hammered), gilt",H. 5 1/4 x W. 11 11/16in. (13.4 x 29.7cm),Chimú,Peru,,,Fish,,,,,,,The Michael C. Rockefeller Wing,Metal-Ornaments,,False,True,https://www.metmuseum.org/art/collection/search/309067,https://images.metmuseum.org/CRDImages/ao/original/vs64_228_556.jpg,0,,,
308727,Copper Spike,Spike,1st–5th century,,,,Copper,Height 25-5/8 in.,Moche,Peru,,,,,,,,,,The Michael C. Rockefeller Wing,Metal-Implements,,False,True,https://www.metmuseum.org/art/collection/search/308727,https://images.metmuseum.org/CRDImages/ao/original/vs64_228_194.jpg,0,,,
307675,Panel,Panel,7th–12th century,,,,"Cotton, camelid hair","Overall: 4 3/8 x 4 5/8 in. (11.13 x 11.75 cm)
Other: 4 3/8 in. (11.13 cm)",Wari,Peru,,,Faces,,,,,,,The Michael C. Rockefeller Wing,Textiles-Woven,,False,True,https://www.metmuseum.org/art/collection/search/307675,https://images.metmuseum.org/CRDImages/ao/original/DP18624.jpg,2,,,
309418,Plaque with Masked Figure,Disk,8th–12th century,,,,Gold,H. 5 1/2 × W. 5 3/4 × D. 1/8 in. (14 × 14.6 × 0.3 cm),Coclé (Macaracas),Panama,,,,,,,,,,The Michael C. Rockefeller Wing,Metal-Ornaments,,False,True,https://www.metmuseum.org/art/collection/search/309418,https://images.metmuseum.org/CRDImages/ao/original/DP-26456-001.jpg,0,,,
308512,Stirrup-spout bottle with bean warriors,Bottle,500–800 CE,,,,"Ceramic, slip",H. 11 1/2 × Diam. 5 7/8 in. (29.2 × 14.9 cm),Moche,Peru,,,Men,Moche artist(s),Artist,,,,,The Michael C. Rockefeller Wing,Ceramics-Containers,,False,True,https://www.metmuseum.org/art/collection/search/308512,https://images.metmuseum.org/CRDImages/ao/original/64.228.6.JPG,1,,,
315245,Ceremonial Knife (Tumi),Knife,2nd–7th century,,,,Copper (cast),Height 6-5/16 in. (16 cm),Moche,Peru,,,,,,,,,,The Michael C. Rockefeller Wing,Metal-Implements,,False,True,https://www.metmuseum.org/art/collection/search/315245,https://images.metmuseum.org/CRDImages/ao/original/vs1987_394_184.jpg,0,,,
315657,Copper Tweezers,Tweezers,before 15th century,,,,Copper (hammered),H x W: 1 1/8 x 1in. (2.9 x 2.5cm),Peruvian,Peru,,,,,,,,,,The Michael C. Rockefeller Wing,Metal-Implements,,False,True,https://www.metmuseum.org/art/collection/search/315657,https://images.metmuseum.org/CRDImages/ao/original/vs1987_394_609.JPG,0,,,
316822,Feathered Tunic,Tunic fragment,15th–early 16th century,,,,"Cotton, feathers",H. 42 in. × W. 28 1/2 in. (106.7 × 72.4 cm),Inca,Peru,,,,,,,,,,The Michael C. Rockefeller Wing,Textiles-Featherwork,,False,True,https://www.metmuseum.org/art/collection/search/316822,https://images.metmuseum.org/CRDImages/ao/original/lb1993_474.jpg,0,,,
308434,Bowl,Bowl,300–100 BCE,,,,"Ceramic, post-fired paint",H. 2 1/8 × Diam. 4 1/8 in. (5.4 × 10.5 cm),Paracas,Peru,,,,,,,,,,The Michael C. Rockefeller Wing,Ceramics-Containers,,False,True,https://www.metmuseum.org/art/collection/search/308434,https://images.metmuseum.org/CRDImages/ao/original/63.232.17.jpg,0,,,
320049,Mäsqälä qǝddase (liturgical cross),Cross,15th century,,,,Copper,H. 10 1/4 × W. 5 1/2 × D. 1 in. (26 × 14 × 2.5 cm),Central or Northern Highlands region,Ethiopia,Northern Highlands region,,,Northern Highlands artist,Artist,,,,,The Michael C. Rockefeller Wing,Metal,,False,True,https://www.metmuseum.org/art/collection/search/320049,https://images.metmuseum.org/CRDImages/ao/original/DP167122.jpg,0,https://www.wikidata.org/wiki/Q116282347,,
308452,Fox Effigy Bottle,Bottle,7th–4th century BCE,,,,"Ceramic, slip",H. 9 1/4 in. × W. 8 in. (23.5 × 20.3 cm),Paracas,Peru,,,,,,,,,,The Michael C. Rockefeller Wing,Ceramics-Containers,,False,True,https://www.metmuseum.org/art/collection/search/308452,https://images.metmuseum.org/CRDImages/ao/original/63.232.43.JPG,0,,,
318292,Figure Vessel,Vessel,9th–14th century,,,,"Ceramic
Contains ancient peanuts (no shell)",H. 9 5/16 in. (23.7 cm),Quimbaya,Colombia,,,Animals,,,,,,,The Michael C. Rockefeller Wing,Ceramics-Containers,,False,True,https://www.metmuseum.org/art/collection/search/318292,https://images.metmuseum.org/CRDImages/ao/original/x.2.417_a.jpg,1,,,
