ObjectID,Title,Object Name,Date,Period,Dynasty,Reign,Medium,Dimensions,Culture,Country,Region,City,Subjects,Artist Name,Artist Role(s),Artist Nationality,Artist Date of Birth,Artist Date of Death,Artist Gender,department,classification,artistDisplayBio,isHighlight,isPublicDomain,objectURL,primaryImage,additionalImages_count,objectWikidata_URL,artistWikidata_URL,artistULAN_URL
62572,Bowl,Bowl,ca. 1780,Edo period (1615–1868),,,Pottery covered with crackled glaze (Awaji ware),H. 2 1/4 in. (5.7 cm); Diam. 5 1/2 in. (14 cm),Japan,,,,,,,,,,,Asian Art,Ceramics,,False,True,https://www.metmuseum.org/art/collection/search/62572,https://images.metmuseum.org/CRDImages/as/original/91_1_249_O.JPG,0,,,
63781,Bo Yi Gao and the White Gibbon Entertain King Zhou,Print,19th century,Qing dynasty (1644–1911),,,Polychrome woodblock print; ink and color on paper,Image: 28 3/4 x 15 1/2 in. (73 x 39.4 cm),China,,,,Kings|Women|Flowers,,,,,,,Asian Art,Prints,,False,True,https://www.metmuseum.org/art/collection/search/63781,https://images.metmuseum.org/CRDImages/as/original/CP355_O.jpg,0,,,
48412,Bowl,Bowl,1271–1368,Yuan dynasty (1271–1368),,,Pottery (Jun type),H. 4 3/8 in. (11.1 cm); Diam. 5 1/4 in. (13.3 cm),China,,,,,,,,,,,Asian Art,Ceramics,,False,True,https://www.metmuseum.org/art/collection/search/48412,https://images.metmuseum.org/CRDImages/as/original/LC-29_100_214_whs-001.jpg,1,,,
59037,Ojime,Ojime,19th century,Edo (1615–1868) or Meiji period (1868–1912),,,Metal,L. 1/2 in. (1.3 cm); W. 3/8 in. (1 cm),Japan,,,,Flowers,,,,,,,Asian Art,Ojime,,False,True,https://www.metmuseum.org/art/collection/search/59037,https://images.metmuseum.org/CRDImages/as/original/13_67_30c.jpg,0,,,
70362,Length,Length,19th century,Qing dynasty (1644–1911),,,"Silk, metallic thread;  on silk",48 1/2 x 29 in. (123.19 x 73.66 cm),China,,,,Owls|Butterflies|Flowers|Plants|Leaves,,,,,,,Asian Art,Textiles-Embroidered,,False,True,https://www.metmuseum.org/art/collection/search/70362,https://images.metmuseum.org/CRDImages/as/original/DT4873.jpg,0,,,
42321,Plate with a drunken scholar and an attendant,Plate,18th century,Qing dynasty (1644–1911),,,Porcelain painted with overglaze polychrome enamels (Jingdezhen ware),Diam. 8 1/4 in. (21 cm),China,,,,Fans|Sleeping|Men|Drinking,,,,,,,Asian Art,Ceramics,,False,True,https://www.metmuseum.org/art/collection/search/42321,https://images.metmuseum.org/CRDImages/as/original/DP-15944-009.jpg,1,,,
69900,Woman’s robe decorated with crane medallions,Robe,19th century,Qing dynasty (1644–1911),,,Silk tapestry (kesi),56 in. × 76 3/4 in. (142.2 × 194.9 cm),China,,,,Cranes,,,,,,,Asian Art,Costumes-Tapestries,,False,True,https://www.metmuseum.org/art/collection/search/69900,https://images.metmuseum.org/CRDImages/as/original/DP226459.jpg,3,https://www.wikidata.org/wiki/Q116313092,,
69233,Stencil,Stencil,19th century,,,,Paper,19 x 12 in. (48.26 x 30.48 cm),Japan,,,,Fans,,,,,,,Asian Art,Stencils,,False,True,https://www.metmuseum.org/art/collection/search/69233,https://images.metmuseum.org/CRDImages/as/original/DP13510.jpg,0,,,
46084,Vase with birds and flowers,Vase,19th century,Qing dynasty (1644–1911),,,"Porcelain painted in polychrome enamels over black ground (Jingdezhen ware, famille noire)",H. 27 3/8 in. (69.5 cm),China,,,,Flowers|Trees,,,,,,,Asian Art,Ceramics,,False,True,https://www.metmuseum.org/art/collection/search/46084,https://images.metmuseum.org/CRDImages/as/original/14_40_224_O2_sf.jpg,4,,,
51677,Head of Bodhisattva,Wall painting,ca. 6th–7th century (?),Kizil kingdom,,,Pigments on mud plaster,Image: 5 1/8 x 5 1/4 in. (13 x 13.3 cm),China (Xinjiang Uyghur Autonomous Region),,,,Buddhism|Bodhisattvas,,,,,,,Asian Art,Paintings,,False,True,https://www.metmuseum.org/art/collection/search/51677,https://images.metmuseum.org/CRDImages/as/original/DP355133.jpg,1,https://www.wikidata.org/wiki/Q78803277,,
41815,That Which Holds a Taste of the Classics Pavilion,Ink tablet,late 19th–early 20th century,late Qing dynasty (1644–1911) or early Republic period (1912–49),,,Ink,H. 4 in. (10.2 cm); W. 1 5/8 in. (4.1 cm),China,,,,Pavilions,Jian Guzhai,Artist,Chinese,,,,Asian Art,Ink,"Chinese,",False,True,https://www.metmuseum.org/art/collection/search/41815,https://images.metmuseum.org/CRDImages/as/original/30_76_235_B.JPG,1,,,
