ObjectID,Title,Object Name,Date,Period,Dynasty,Reign,Medium,Dimensions,Culture,Country,Region,City,Subjects,Artist Name,Artist Role(s),Artist Nationality,Artist Date of Birth,Artist Date of Death,Artist Gender,department,classification,artistDisplayBio,isHighlight,isPublicDomain,objectURL,primaryImage,additionalImages_count,objectWikidata_URL,artistWikidata_URL,artistULAN_URL
470875,Panel with Saint John the Baptist Enthroned from Retable,Painting,15th century,,,,"Tempera on wood, gold ground",53 3/4 x 36 1/4 in. (136.5 x 92.1 cm ),Spanish,Spain,,,Lambs|Saint John the Baptist,Domingo Ram,Artist,Spanish,1464,1507,,The Cloisters,Paintings-Panels,"Spanish, Aragon, active 1464–1507",False,True,https://www.metmuseum.org/art/collection/search/470875,https://images.metmuseum.org/CRDImages/cl/original/cdi25-120-670.jpg,1,https://www.wikidata.org/wiki/Q20200962,https://www.wikidata.org/wiki/Q20829680,http://vocab.getty.edu/page/ulan/500014489
471144,Doorway,Doorway,ca. 1450–1500,,,,Limestone,Overall: 13 x 5 in. (33 x 12.7 cm),French,France,,,Doorways,,,,,,,The Cloisters,Installations,,False,True,https://www.metmuseum.org/art/collection/search/471144,https://images.metmuseum.org/CRDImages/cl/original/cdi34-21-9.jpg,0,https://www.wikidata.org/wiki/Q116252458,,
472186,Capital,Capital,late 12th century,,,,Stone,Overall: 11 x 9 5/8 x 9 5/8 in. (27.9 x 24.4 x 24.4 cm),French,,,,,,,,,,,The Cloisters,Sculpture-Architectural,,False,True,https://www.metmuseum.org/art/collection/search/472186,https://images.metmuseum.org/CRDImages/cl/original/cdi-st-g2.jpg,2,https://www.wikidata.org/wiki/Q116243426,,
466828,Chasuble,Chasuble,15th–16th century,,,,"Velvet, silk, gold thread",Overall: 45 × 31 in. (114.3 × 78.7 cm),Italian,,,,,,,,,,,The Cloisters,Textiles-Costumes-Ecclesiastical,,False,True,https://www.metmuseum.org/art/collection/search/466828,https://images.metmuseum.org/CRDImages/cl/original/74009.jpg,1,,,
469967,Four Two-Colored Tiles,Tiles,late 14th century,,,,"Fired earthenware, with slip decoration and lead glaze",Overall (each approx.): 4 1/8 x 4 1/8 in. (10.5 x 10.5 cm),British,England,,Oxfordshire,,,,,,,,The Cloisters,Ceramics-Tiles,,False,True,https://www.metmuseum.org/art/collection/search/469967,https://images.metmuseum.org/CRDImages/cl/original/cdi1991-112-6a-d.jpg,1,,,
471649,Plate and Nail,Plate and nail,15th–16th century,,,,Iron,Overall: 4 in. (10.2 cm),European,,,,,,,,,,,The Cloisters,Metalwork-Iron,,False,True,https://www.metmuseum.org/art/collection/search/471649,https://images.metmuseum.org/CRDImages/cl/original/cdi55-61-88ab.jpg,1,,,
468230,Joshua and David (from the Heroes Tapestries),Tapestry,ca. 1400–1410,,,,"Wool warp, wool wefts",Overall: 168 x 250 in. (426.7 × 635 cm),South Netherlandish,,,,Falcons|Bow and Arrow|Kings|Men|Women|Cheetahs|Dogs|David|Coat of Arms|Knights,,,,,,,The Cloisters,Textiles-Tapestries,,False,True,https://www.metmuseum.org/art/collection/search/468230,https://images.metmuseum.org/CRDImages/cl/original/DP159950.jpg,1,https://www.wikidata.org/wiki/Q20201215,,
470634,Column Shaft,Shaft,late 12th century,,,,Stone,Overall: 40 1/2 x 5 11/16 in. (102.9 x 14.5 cm),French,France,,,,,,,,,,The Cloisters,Sculpture-Architectural,,False,True,https://www.metmuseum.org/art/collection/search/470634,https://images.metmuseum.org/CRDImages/cl/original/cdi-st-g23.jpg,1,https://www.wikidata.org/wiki/Q116256081,,
470648,Column Base,Base,late 12th century,,,,Stone,Overall: 8 7/8 x 9 15/16 x 9 15/16 in. (22.5 x 25.3 x 25.3 cm),French,France,,,,,,,,,,The Cloisters,Sculpture-Architectural,,False,True,https://www.metmuseum.org/art/collection/search/470648,https://images.metmuseum.org/CRDImages/cl/original/cdi25-120-1047.jpg,0,,,
471641,Plate and Nail,Plate and nail,15th–16th century,,,,Iron,Overall: 4 x 2 1/4 in. (10.2 x 5.7 cm),European,,,,,,,,,,,The Cloisters,Metalwork-Iron,,False,True,https://www.metmuseum.org/art/collection/search/471641,https://images.metmuseum.org/CRDImages/cl/original/cdi55-61-80ab.jpg,1,,,
470640,Column Base,Base,late 12th century,,,,Stone,Overall: 8 7/8 x 9 15/16 x 9 15/16 in. (22.5 x 25.2 x 25.2 cm),French,France,,,,,,,,,,The Cloisters,Sculpture-Architectural,,False,True,https://www.metmuseum.org/art/collection/search/470640,https://images.metmuseum.org/CRDImages/cl/original/cdi25-120-1039.jpg,0,,,
477815,Aquamanile in the Form of a Ram,Aquamanile,ca. 1250–1350,,,,"Earthenware, green glaze",9 7/16 × 11 1/2 × 5 1/4 in. (23.9 × 29.2 × 13.3 cm),British,England,,Scarborough,Rams,,,,,,,The Cloisters,Ceramics,,False,True,https://www.metmuseum.org/art/collection/search/477815,https://images.metmuseum.org/CRDImages/cl/original/DP161570.jpg,5,https://www.wikidata.org/wiki/Q116276955,,
471119,Roundel with Susanna Before the Judge,Roundel,1510–15,,,,"Colorless glass, vitreous paint and silver stain",Overall Diam.:  8 1/2 in. (21.6 cm),South Netherlandish,South Netherlands,,,Men|Women|Dogs,,,,,,,The Cloisters,Glass-Stained,,False,True,https://www.metmuseum.org/art/collection/search/471119,https://images.metmuseum.org/CRDImages/cl/original/cdi32-24-56.jpg,0,https://www.wikidata.org/wiki/Q20201574,,
471094,Roundel with Saint Jodocus and St. Clare of Assisi,Roundel,1520–30,,,,"Colorless glass, silver stain, vitreous paint",Overall Diam.: 9 in. (22.9 cm),South Netherlandish,,,,Men|Women|Saints,,,,,,,The Cloisters,Glass-Stained,,False,True,https://www.metmuseum.org/art/collection/search/471094,https://images.metmuseum.org/CRDImages/cl/original/cdi32-24-31.jpg,0,https://www.wikidata.org/wiki/Q20201521,,
471869,The Cloisters Apocalypse,Apocalypse; Manuscript,ca. 1330,,,,"Tempera, gold, silver, and ink on parchment; later leather binding","Overall: 12 3/8 × 9 3/8 × 1 3/8 in. (31.5 × 23.8 × 3.5 cm)
Each folio: 12 1/8 × 9 1/16 in. (30.8 × 23 cm)",French,France,,Normandy,Angels|Virgin Mary|Adoration of the Magi|Annunciation|Apocalypse|Visitation,,,,,,,The Cloisters,Manuscripts and Illuminations,,False,True,https://www.metmuseum.org/art/collection/search/471869,https://images.metmuseum.org/CRDImages/cl/original/DP225775.jpg,83,https://www.wikidata.org/wiki/Q20201150,,
470894,Corbel,Corbel,second half 12th century,,,,Stone,Overall: 5 1/4 x 3 7/8 x 2 3/4 in. (13.3 x 9.8 x 7 cm),Catalan,present-day France,,,Animals,,,,,,,The Cloisters,Sculpture-Architectural,,False,True,https://www.metmuseum.org/art/collection/search/470894,https://images.metmuseum.org/CRDImages/cl/original/cdi25-120-452.jpg,0,,,
471378,Panel with Christ and the Woman Taken in Adultery,Panel,early 16th century,,,,Oak,Overall: 35 1/2 x 10 1/2 in. (90.2 x 26.7 cm),French,France,,,Men|Women|Christ,,,,,,,The Cloisters,Woodwork-Architectural,,False,True,https://www.metmuseum.org/art/collection/search/471378,https://images.metmuseum.org/CRDImages/cl/original/cdi50-147-21.jpg,0,,,
469954,Architectural Support with a Flute-Player,Architectural support,1524–1525,,,,Oak,"8 ft. 4 1/2 in. × 7 1/2 in. × 9 1/2 in., 64 lb. (255.3 × 19.1 × 24.1 cm, 29 kg)",French,"England, by French woodworkers",,Exeter,Flutes|Musicians,,,,,,,The Cloisters,Woodwork-Architectural,,False,True,https://www.metmuseum.org/art/collection/search/469954,https://images.metmuseum.org/CRDImages/cl/original/DP-24535-003.jpg,3,,,
471860,Double Column Base,Base,late 15th century,,,,Marble,Overall: 19 1/4 x 9 11/16 x 11 3/4 in. (48.9 x 24.6 x 29.8 cm),French,France,,,,,,,,,,The Cloisters,Sculpture-Architectural,,False,True,https://www.metmuseum.org/art/collection/search/471860,https://images.metmuseum.org/CRDImages/cl/original/SFSL-67-155-30-Front.jpg,2,https://www.wikidata.org/wiki/Q116411097,,
470302,Beaker,Beaker,late 15th century,,,,Mold-blown glass,H. 2 1/4 in. (5.7 cm),German,,,,,,,,,,,The Cloisters,Glass-Vessels,,False,True,https://www.metmuseum.org/art/collection/search/470302,https://images.metmuseum.org/CRDImages/cl/original/cdi1985-133-2s1.jpg,6,https://www.wikidata.org/wiki/Q116256522,,
471209,Tile,Tile,12th century,,,,Earthenware clay,Overall: 1 7/8 x 16 3/8 x 8 in. (4.8 x 41.6 x 20.3 cm),Catalan,,,,,,,,,,,The Cloisters,Ceramics,,False,True,https://www.metmuseum.org/art/collection/search/471209,https://images.metmuseum.org/CRDImages/cl/original/sf37-90-3.jpg,0,,,
471940,Saint Ambrose,Panel,1340–50,,,,"Pot-metal glass, colorless glass, and vitreous paint","35 x 13 in. (88.9 x 33 cm)
with modern border: 35 7/8 × 19 × 5/8 in. (91.1 × 48.3 × 1.6 cm)",Austrian,Austria,,,Men|Croziers|Saints,,,,,,,The Cloisters,Glass-Stained,,False,True,https://www.metmuseum.org/art/collection/search/471940,https://images.metmuseum.org/CRDImages/cl/original/cdi65-97-6.jpg,0,https://www.wikidata.org/wiki/Q20201774,,
