ObjectID,Title,Object Name,Date,Period,Dynasty,Reign,Medium,Dimensions,Culture,Country,Region,City,Subjects,Artist Name,Artist Role(s),Artist Nationality,Artist Date of Birth,Artist Date of Death,Artist Gender,department,classification,artistDisplayBio,isHighlight,isPublicDomain,objectURL,primaryImage,additionalImages_count,objectWikidata_URL,artistWikidata_URL,artistULAN_URL
123133,Shawl,Shawl,ca. 1822,,,,silk,,probably British,,,,,,,,,,,Costume Institute,,,False,True,https://www.metmuseum.org/art/collection/search/123133,https://images.metmuseum.org/CRDImages/ci/original/1988.359.jpg,0,,,
173569,Jacket,Jacket,1869,,,,Silk,,French,,,,,,,,,,,Costume Institute,,,False,True,https://www.metmuseum.org/art/collection/search/173569,https://images.metmuseum.org/CRDImages/ci/original/46.194.1_CP1.jpg,0,,,
170542,Mittens,Mittens,early 17th century,,,,Leather,,British,,,,,,,,,,,Costume Institute,,,False,True,https://www.metmuseum.org/art/collection/search/170542,https://images.metmuseum.org/CRDImages/ci/original/21.511.23a-b_CP2.jpg,0,,,
119241,Collar,Collar,1840s,,,,linen,,American,,,,,,,,,,,Costume Institute,,,False,True,https://www.metmuseum.org/art/collection/search/119241,https://images.metmuseum.org/CRDImages/ci/original/CI44.54.1.jpg,0,,,
156504,Lappet,Lappet,1730–50,,,,linen,,Flemish,,,,,,,,,,,Costume Institute,,,False,True,https://www.metmuseum.org/art/collection/search/156504,https://images.metmuseum.org/CRDImages/ci/original/35.1981a-b_CP4.jpg,0,,,
104382,Binder,Binder,1894,,,,wool,,American,,,,,,,,,,,Costume Institute,,,False,True,https://www.metmuseum.org/art/collection/search/104382,https://images.metmuseum.org/CRDImages/ci/original/CI38.63.26.jpg,0,,,
108373,Wedding ensemble,Wedding Ensemble,ca. 1865,,,,silk,,American,,,,,,,,,,,Costume Institute,,,False,True,https://www.metmuseum.org/art/collection/search/108373,https://images.metmuseum.org/CRDImages/ci/original/1979.346.12ab_F.jpg,9,,,
86845,Slippers,Slippers,1810s,,,,[no medium available],,American,,,,,,,,,,,Costume Institute,,,False,True,https://www.metmuseum.org/art/collection/search/86845,https://images.metmuseum.org/CRDImages/ci/original/CI66.24.4ab_F.jpg,2,,,
174859,Evening stole,Evening stole,ca. 1860,,,,"Cotton, insect, metallic",,American,,,,,,,,,,,Costume Institute,,,False,True,https://www.metmuseum.org/art/collection/search/174859,"https://images.metmuseum.org/CRDImages/ci/original/72.149b,c_CP1.JPG",0,,,
102705,Bag,Bag,1830–40,,,,metal,,French,,,,,,,,,,,Costume Institute,,,False,True,https://www.metmuseum.org/art/collection/search/102705,https://images.metmuseum.org/CRDImages/ci/original/48.187.660.jpg,0,,,
86743,Afternoon dress,Afternoon dress,ca. 1871,,,,cotton,,European,,,,,,,,,,,Costume Institute,,,False,True,https://www.metmuseum.org/art/collection/search/86743,https://images.metmuseum.org/CRDImages/ci/original/C.I.38.23.247a–c_F.jpg,6,https://www.wikidata.org/wiki/Q100708486,,
117564,Veil,Veil,ca. 1844,,,,[no medium available],,probably Indian,,,,,,,,,,,Costume Institute,,,False,True,https://www.metmuseum.org/art/collection/search/117564,https://images.metmuseum.org/CRDImages/ci/original/CI40.185.5.jpg,2,,,
128053,Shoe buckles,Shoe Buckles,late 18th century,,,,"metal, paste",,British,,,,,,,,,,,Costume Institute,,,False,True,https://www.metmuseum.org/art/collection/search/128053,https://images.metmuseum.org/CRDImages/ci/original/DP-17308-009.jpg,1,https://www.wikidata.org/wiki/Q116397231,,
121597,Apron,Apron,18th century,,,,cotton,,probably European,,,,,,,,,,,Costume Institute,,,False,True,https://www.metmuseum.org/art/collection/search/121597,https://images.metmuseum.org/CRDImages/ci/original/1971.242.5.jpg,1,,,
