ObjectID,Title,Object Name,Date,Period,Dynasty,Reign,Medium,Dimensions,Culture,Country,Region,City,Subjects,Artist Name,Artist Role(s),Artist Nationality,Artist Date of Birth,Artist Date of Death,Artist Gender,department,classification,artistDisplayBio,isHighlight,isPublicDomain,objectURL,primaryImage,additionalImages_count,objectWikidata_URL,artistWikidata_URL,artistULAN_URL
712922,"Miss Darune, from the Actresses series (N203) issued by Wm. S. Kimball & Co.",Photograph,1889,,,,Commercial color lithograph,Sheet: 2 5/8 × 1 3/8 in. (6.6 × 3.5 cm),,,,,Portraits|Women|Actresses,William S. Kimball & Company,Publisher,,,,,Drawings and Prints,Photographs,,False,True,https://www.metmuseum.org/art/collection/search/712922,https://images.metmuseum.org/CRDImages/dp/original/DPB871351.jpg,0,,,
649476,"Fannie Rice, from the Actors and Actresses series (N145-8) issued by Duke Sons & Co. to promote Duke Cigarettes",Photograph,ca. 1891,,,,Albumen photograph,Sheet: 2 11/16 × 1 3/8 in. (6.8 × 3.5 cm),,,,,Portraits|Women|Actresses,"W. Duke, Sons & Co.",Publisher,American,1870,1920,,Drawings and Prints,Photographs,"New York and Durham, N.C.",False,True,https://www.metmuseum.org/art/collection/search/649476,https://images.metmuseum.org/CRDImages/dp/original/DP840799.jpg,0,,https://www.wikidata.org/wiki/Q66734555,(not assigned)
826755,John Milton,Print,1670,,,,Engraving; second state of three,Sheet: 7 3/4 × 5 3/4 in. (19.7 × 14.6 cm),,,,,Men|Portraits,William Faithorne the Elder,Engraver,British,1615,1691,,Drawings and Prints,Prints,"British, London ca. 1620–1691 London",False,True,https://www.metmuseum.org/art/collection/search/826755,https://images.metmuseum.org/CRDImages/dp/original/DP886207.jpg,1,,https://www.wikidata.org/wiki/Q3568608,http://vocab.getty.edu/page/ulan/500115446
377884,Part of the Entrance of the Polish Legation (Q.X.Y.),Print,1633,,,,"Etching, state i",,,,,,Human Figures|Horses,Stefano della Bella,Etcher,Italian,1610,1664,,Drawings and Prints,Prints,"Italian, Florence 1610–1664 Florence",False,True,https://www.metmuseum.org/art/collection/search/377884,https://images.metmuseum.org/CRDImages/dp/original/DP818153.jpg,0,,https://www.wikidata.org/wiki/Q921242,http://vocab.getty.edu/page/ulan/500018966
338907,Soldiers Carrying Urns,Drawing,1501–56,,,,Pen and brown ink,12-5/8 x 9 in.  (32.0 x 22.9 cm),,,,,Soldiers|Men|Urns,Girolamo da Carpi (Girolamo Sellari),Artist,Italian,1501,1556,,Drawings and Prints,Drawings,"Italian, Ferrara 1501–1556 Ferrara",False,True,https://www.metmuseum.org/art/collection/search/338907,https://images.metmuseum.org/CRDImages/dp/original/80.3.426.jpg,2,,https://www.wikidata.org/wiki/Q2701846,http://vocab.getty.edu/page/ulan/500003965
362219,Design for a Panel,Drawing ; Ornament and Architecture,1748–92,,,,"Pen and black ink, watercolor",sheet: 11 1/8 x 4 9/16 in. (28.2 x 11.6 cm),,,,,Ornament,Robert Adam,Artist,"British, Scottish",1728,1792,,Drawings and Prints,Drawings,"British, Kirkcaldy, Scotland 1728–1792 London",False,True,https://www.metmuseum.org/art/collection/search/362219,https://images.metmuseum.org/CRDImages/dp/original/DP800714.jpg,0,,https://www.wikidata.org/wiki/Q312635,http://vocab.getty.edu/page/ulan/500008907
378588,"Design for Omnibus or Wagonette, no. 3907",Drawing,1884,,,,Watercolor and ink,sheet: 6 7/16 x 8 3/4 in. (16.4 x 22.2 cm),,,,,Carriages,Brewster & Co.,Manufacturer,American,,,,Drawings and Prints,Drawings,"American, New York",False,True,https://www.metmuseum.org/art/collection/search/378588,https://images.metmuseum.org/CRDImages/dp/original/DP882091.jpg,0,,,
389035,"Vignette Showing Britannia, Neptune, France and Sea Battle",Print,"March 1, 1778",,,,Engraving,"plate: 4 1/2 x 6 15/16 in. (11.4 x 17.7 cm)
sheet: 5 x 8 7/16 in. (12.7 x 21.5 cm)",,,,,Battles|Neptune|Roosters|Ships|Allegory,"Anonymous, British, 18th century",Artist,British,1700,1800,,Drawings and Prints,Prints,,False,True,https://www.metmuseum.org/art/collection/search/389035,https://images.metmuseum.org/CRDImages/dp/original/DP876999.jpg,0,,https://www.wikidata.org/wiki/Q4233718,http://vocab.getty.edu/page/ulan/500397994
388161,"“The Fourth Knot”, Interlaced Roundel with a Round Medallion in its Center",Collection Ornament & Architecture,before 1521,,,,Woodcut,sheet: 10 3/4 x 8 7/16 in. (27.3 x 21.4 cm),,,,,Ornament,Albrecht Dürer,Artist,German,1471,1528,,Drawings and Prints,Prints,"German, Nuremberg 1471–1528 Nuremberg",False,True,https://www.metmuseum.org/art/collection/search/388161,https://images.metmuseum.org/CRDImages/dp/original/DP816476.jpg,0,,https://www.wikidata.org/wiki/Q5580,http://vocab.getty.edu/page/ulan/500115493
414989,"Ida Bell, from the Actors and Actresses series (N45, Type 1) for Virginia Brights Cigarettes",Photograph,ca. 1888,,,,Albumen photograph,Sheet: 2 3/4 x 1 3/8 in. (7 x 3.5 cm),,,,,Portraits|Women|Actresses,Allen & Ginter,Publisher,American,,,,Drawings and Prints,Photographs,"American, Richmond, Virginia",False,True,https://www.metmuseum.org/art/collection/search/414989,https://images.metmuseum.org/CRDImages/dp/original/DP830414.jpg,0,,https://www.wikidata.org/wiki/Q4731490,(not assigned)
