Original,Canonical,Changed
's-graveland,s-graveland,True
katharinaklooster,st. catherine's monastery,True
kathedraal van avila,avila cathedral,True
kathedraal van bourges,bourges cathedral,True
kathedraal van bristol,bristol cathedral,True
kathedraal van burgos,burgos cathedral,True
kathedraal van canterbury,canterbury cathedral,True
kathedraal van durham,durham cathedral,True
kathedraal van ely,ely cathedral,True
kathedraal van exeter,exeter cathedral,True
kathedraal van genève,geneva cathedral,True
kathedraal van glasgow,glasgow cathedral,True
kathedraal van gloucester,gloucester cathedral,True
kathedraal van laon,laon cathedral,True
kathedraal van lausanne,lausanne cathedral,True
kathedraal van limoges,limoges cathedral,True
kathedraal van lincoln,lincoln cathedral,True
kathedraal van monreale,monreale cathedral,True
kathedraal van murcia,murcia cathedral,True
kathedraal van auch,auch cathedral,True
kasteel van saint-cloud,château de saint-cloud,True
kreta,creta,True
kasteel van pierrefonds,château de pierrefonds,True
kansas city (missouri),kansas city,True
kanton (provincie),guangdong,True
kapel van nicolaas v (vaticaanse musea),chapel of nicholas v,True
karlsbad (duitsland),karlsbad,True
karlsbad (tsjechië),karlovy vary,True
karmelgebergte,mount carmel,True
karskoye more,kara sea,True
karstgebergte,karst,True
kartuizerklooster san martino,certosa di san martino,True
kasba van algiers,casbah of algiers,True
kasjmir,kashmir,True
kasteel altena,altena castle,True
kasteel rochester,rochester castle,True
kasteel van azay-le-rideau,château d'azay-le-rideau,True
kasteel van cheverny,château de cheverny,True
kasteel van montjuïc,montjuïc castle,True
kasteel van oiron,château d'oiron,True
kathedraal van norwich,norwich cathedral,True
kathedraal van noyon,noyon cathedral,True
kathedraal van ripon,ripon cathedral,True
kathedraal van rouen,rouen cathedral,True
kirman,kerman,True
kishangar,kishangarh,True
klarenbeek (gelderland),klarenbeek,True
klausen (duitsland),klausen,True
klausen (zuid-tirol),klausen,True
klingenthal (alsace),klingenthal,True
koerdistan,kurdistan,True
's-heerenberg,s-heerenberg,True
koningsplein (brussel),koningsplein,True
koninklijk paleis (madrid),royal palace of madrid,True
koninklijk paleis van aranjuez,royal palace of aranjuez,True
koninklijk paleis van sevilla,royal palace of seville,True
kopenhagen,copenhagen,True
korfoe (eiland),corfu,True
korinthe,corinth,True
kraantje lek (overveen),kraantje lek,True
krakau,krakow,True
kingstown (saint vincent),kingstown,True
kingston (jamaica),kingston,True
king's college (aberdeen),aberdeen,True
kaukasus,caucasus,True
kathedraal van salisbury,salisbury cathedral,True
kathedraal van santa maria assunta,cathedral of santa maria assunta,True
kathedraal van sevilla,seville cathedral,True
kathedraal van tarragona,tarragona cathedral,True
kathedraal van wells,wells cathedral,True
kathedraal van worcester,worcester cathedral,True
kathedraal van york,york cathedral,True
kavála,kavala,True
kiev,kyiv,True
kazak,kazakhstan,True
keizerstraat (scheveningen),keizerstraat,True
kempen (belgië),kempen,True
kenia,kenya,True
kerk van saint-maclou,church of saint-maclou,True
khyberpas,khyber pass,True
kidron-dal,kidron valley,True
kansas city (kansas),kansas city,True
kandy (voormalige natie),kandy,True
kanagawa-ken,kanagawa,True
iran?,iran,True
iran (modern afghanistan),afghanistan,True
iran (persia),iran,True
iran and turkey,iran,True
iran or afghanistan,afghanistan,True
iran or azerbaijan,azerbaijan,True
iran or caucasus,caucasus,True
iran or europe,europe,True
iran or india,india,True
iran or india; possibly assembled or refurbished in rome,india,True
